institution_code,institution_name,email,akreditasi_institusi,link
132,Sekolah Tinggi Ilmu Kesehatan Artha Bodhi Iswara,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73125
133,Sekolah Tinggi Ilmu Kesehatan Griya Husada Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73189
134,Sekolah Tinggi Ilmu Kesehatan Hang Tuah Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73132
135,Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73175
136,Sekolah Tinggi Ilmu Kesehatan Husada Jombang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73139
137,Sekolah Tinggi Ilmu Kesehatan Kendedes,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73152
138,Sekolah Tinggi Ilmu Kesehatan Maharani,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73143
139,Sekolah Tinggi Ilmu Kesehatan Majapahit,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73123
140,Sekolah Tinggi Ilmu Kesehatan Ngudia Husada Madura,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73154
141,Sekolah Tinggi Ilmu Kesehatan Pemkab Jombang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73144
142,Sekolah Tinggi Ilmu Kesehatan Rajekwesi Bojonegoro,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73184
143,Sekolah Tinggi Ilmu Kesehatan Rustida,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73188
144,Sekolah Tinggi Ilmu Kesehatan Sukma Wijaya Sampang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73187
145,Sekolah Tinggi Ilmu Kesehatan William Booth,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73160
146,Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73072
147,Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73010
148,Sekolah Tinggi Ilmu Perikanan Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73067
149,Sekolah Tinggi Ilmu Pertanian,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73029
150,Sekolah Tinggi Informatika & Komputer Indonesia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73025
151,Sekolah Tinggi Kesenian Wilwatikta,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73003
152,Sekolah Tinggi Pariwisata Satya Widya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73053
153,Sekolah Tinggi Sosial Politik Waskita Darma,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73026
154,Sekolah Tinggi Teknik Multimedia Internasional Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73186
155,Sekolah Tinggi Teknik Raden Wijaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73015
156,Sekolah Tinggi Teknologi Cahaya Surya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73081
157,Sekolah Tinggi Teknologi Gempol,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73105
158,Sekolah Tinggi Teknologi Muhammadiyah Ar Fachruddin,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73182
159,Sekolah Tinggi Teknologi Pomosda,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73113
160,Sekolah Tinggi Teknologi STIKMA Internasional,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73096
161,STIA Dan Manajemen Kepelabuhan Barunawati,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73088
162,STIE Bakti Bangsa,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73174
163,STIKES Adi Husada,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73181
164,STIKES Arrahma Mandiri Indonesia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73176
165,STIKES Bahrul Ulum Jombang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73148
166,STIKES Banyuwangi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73137
167,STIKES Bhakti Al-Qodiri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73166
168,STIKES Bhakti Husada Mulia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73162
169,STIKES Bhakti Mulia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73136
170,STIKES Buana Husada Ponorogo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73164
171,STIKES Dian Husada,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73140
172,STIKES Ganesha Husada Kediri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73155
173,STIKES Hutama Abdi Husada Tulungagung,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73159
174,STIKES Insan Se Agung,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73134
175,STIKES Karya Husada Kediri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73128
