id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
wSkWCM-FJFs2wxtBc4UkY_gphJuotWwuRYHLVgxbN0ukmlMmxWEYqfavG7ypxkHRekpaVg==,Kota Pematang Siantar,Prov. Sumatera Utara,Baik,-,Alih Bentuk,Sekolah Tinggi Filsafat Theologia Surya Nusantara,Swasta,2,6.800.000 - 6.800.000
3__xT6vV0fQECdBzrtdt3St58lisfxcmPG-o5sYzUsxk1s3w99LhFLnwDDStSYPqg6GKxg==,Kota Banjarmasin,Prov. Kalimantan Selatan,-,STIKES Sari Mulia,Alih Bentuk,STIKES Sari Mulia,Swasta,4,-
WjUtB0buYHG_7VzsS-9gIcekvKhunEU7Jrcwu1uzfvJufTPC6efdUturSped36NIvB038g==,Kota Sorong,Prov. Papua Barat,Baik,UKiP,Aktif,Universitas Kristen Papua,Swasta,15,125.000 - 5.500.000
_h4e_caonNAkl9dpBMYsrIN_1O06iP7edaJMCjAFxYpK1AhM7U3z-Np3X2T3JFjbgt0tMA==,Kab. Timor Tengah Utara,Prov. Nusa Tenggara Timur,Baik,STKIP SURYA KASIH,Aktif,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Surya Kasih,Swasta,1,2.400.000 - 2.400.000
ZLeRihp1VUbxZ2DECn-H7NCouySBbxethO7PSQo2wIgnniFckEWXps0vTNxyqIitGiyHLw==,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik,UNISM,Aktif,Universitas Sari Mulia,Swasta,16,850.000 - 41.000.000
0NTpN2Wt6jCag-1eofUrLPpP7tBC9RXyaV5PHTmTHLJCK-6Pr8P5s7illnMrfKesRP4NtA==,Kota Samarinda,Prov. Kalimantan Timur,-,-,Tutup,Politeknik Bisnis Lamda,Swasta,4,-
twPxOYRxjYLGpgC1mp2Ke-C54eyW4gOr2PnQOTR1ZYjg_Y-RUCrX-zzbE1rUJJNVIt2VxQ==,Kota Palembang,Prov. Sumatera Selatan,-,THB,Aktif,Akademi Kebidanan Tunas Harapan Bangsa,Swasta,1,-
urvUEMBiFuDht3P3DaEb4JmRnlNaAJlTzDjyoQl7w5UKkKem7KevmqjuP33lzrVxk4xjiw==,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,UNIMERZ,Aktif,Universitas Megarezky,Swasta,33,100.000 - 33.500.000
8ufUFipykIntgHGhUJfH-wa595WdEpP7D4yLswui0PhlwoFvdj2KTezwPvChWOLrPGZwAQ==,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,B,YPS,Aktif,Universitas Bung Karno,Swasta,16,-
tw5eqeNQCIZfyaafHbMV08EnE-7NJaxTL7f3j41MOIfACaDVm3feg1DjM5LMHC9FAK0fUw==,Kab. Majalengka,Prov. Jawa Barat,Baik,Univ YPIB / UYPIB,Aktif,Universitas Yayasan Pendidikan Imam Bonjol Majalengka,Swasta,11,2.500.000 - 6.600.000
