id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
-Vm6MlwS9od5cb7hb8kYCX3V4lmYjRT9FddlLoWWgnQ4M1Wh7puz4r3JCbG2vBe4kpCoFQ==,Kota Pematang Siantar,Prov. Sumatera Utara,Baik,,Alih Bentuk,Sekolah Tinggi Filsafat Theologia Surya Nusantara,Swasta,2,6.800.000 - 6.800.000
1HsSD0Op5fRIhW34HsdfSK2UHLpjsn-5GuxYupl8ETljhlKKkxk55Y5PTOXQCWhIEW8F6A==,Kota Banjarmasin,Prov. Kalimantan Selatan,,STIKES Sari Mulia,Alih Bentuk,STIKES Sari Mulia,Swasta,4,
SbBnZbJlDcFoRdT3OxxuPF0txyGFTDlWvNgNgOvQ8xk2RwOxdaNrUabLYY6psSPzyWBtSw==,Kota Sorong,Prov. Papua Barat,Baik,UKiP,Aktif,Universitas Kristen Papua,Swasta,15,125.000 - 5.500.000
Gq9TVCxzfdhdvg2-SUQMVa6Tq4ITMolTT5PDhnMSMr4FKoO7ReJDtyJwTCRhWr2IDaF5Wg==,Kab. Timor Tengah Utara,Prov. Nusa Tenggara Timur,Baik,STKIP SURYA KASIH,Aktif,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Surya Kasih,Swasta,1,2.400.000 - 2.400.000
BQ8BsBwGNlmfzxYX5mGD6S6_x-hlcc7n-ocVBX1SSAmnKgyd3GCubZcNmbyuxf66yifdKg==,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik,UNISM,Aktif,Universitas Sari Mulia,Swasta,16,850.000 - 41.000.000
vQqDvP2MScqF1LCJhgZPw6qWhtpK6q77R21tur8yKZrNNubREbgsPkLQXp2GbgQ85o5xmA==,Kota Samarinda,Prov. Kalimantan Timur,,,Tutup,Politeknik Bisnis Lamda,Swasta,4,
59hM3IsiBMPUAOJgcjSl25pmGxAxn-GHUFg5sCN4Kf7vgAJZHWhN6jv5iv1PyD8FCt3YMg==,Kota Palembang,Prov. Sumatera Selatan,,THB,Aktif,Akademi Kebidanan Tunas Harapan Bangsa,Swasta,1,
pyzYfCz1dbjgKUJHkcp4P8MAtYerFNIBJ26wovj7LlDcJoBloVUCR0-0dLRD1FxDK5v6YQ==,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,UNIMERZ,Aktif,Universitas Megarezky,Swasta,33,100.000 - 33.500.000
238OAZzdLoYycS_ToK5-sGdGTUW4aauIKRaXLwQmPnsK09S8EkkExBLspLO_PYVnmrfDhQ==,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,B,YPS,Aktif,Universitas Bung Karno,Swasta,16,
u8jG2b48LY5AL5GWf_I6WDINhC2ELIlg5v_71dER3IGY7x7phtRlIhRh5zcaXvrl2ll3IA==,Kab. Majalengka,Prov. Jawa Barat,Baik,Univ YPIB / UYPIB,Aktif,Universitas Yayasan Pendidikan Imam Bonjol Majalengka,Swasta,11,2.500.000 - 6.600.000
4jh7LmmXjbNuW6xZx2LJqfGhJJx7hl1_MGnBYIEWKRvQb8E3Ul4ZifxKz7ICXNGrZv8vCA==,Kota Padang Sidempuan,Prov. Sumatera Utara,Baik,,Aktif,STIKES Darmais Padangsidimpuan,Swasta,3,3.000.000 - 3.000.000
t7QKM3Dw75oIENnfbQ3G4BuQOYQW29cxUAWLEFL26dKgoJ9Gc_vZrxjhbnRW_JeS-BFvnw==,Kab. Hulu Sungai Utara,Prov. Kalimantan Selatan,Baik Sekali,STIA AMUNTAI,Aktif,Sekolah Tinggi Ilmu Administrasi Amuntai,Swasta,4,1.800.000 - 3.930.000
HMIDe1ULtB2_kmiCvJM66AFQ7Z_ncIRv4EJcxXC3L9AepVKforDR8DQUTRdoQgg1ui3RsQ==,Kota Malang,Prov. Jawa Timur,Baik,STIE PEMNAS INDO MLG,Aktif,Sekolah Tinggi Ilmu Ekonomi Pemnas Indonesia,Swasta,2,2.500.000 - 5.000.000
6NI9umoMkQkSBawv8mT9hy2qHx-CS8AkcZXvReK3P89fSC1NzM0OWmF6MZnJaetVE--nVg==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,,APPI,Alih Bentuk,Akademi Pariwisata Patria Indonesia,Swasta,1,
N-wBDosAs2zdMhGCk916XQNGIlr5L0JKrkwBpkiHjGe9kmeU0YJwfHIwNjvlMS2RlTLa_g==,Kota Bekasi,Prov. Jawa Barat,,UIM,Alih Bentuk,Universitas Indonesia Mandiri,Swasta,10,2.400.000 - 4.500.000
