institution_code,institution_name,akreditasi_institusi,wilayah
3088,UNIVERSITAS FAJAR,B,WILAYAH 09
3089,UNIVERSITAS PUTRA INDONESIA YPTK PADANG,B,WILAYAH 10
3090,UNIVERSITAS TARUMANAGARA,UNGGUL,WILAYAH 03
3091,SEKOLAH TINGGI ILMU EKONOMI BINA KARYA,B,WILAYAH 01
3092,SEKOLAH TINGGI ILMU FARMASI YAYASAN PHARMASI,B,WILAYAH 06
3093,AKADEMI PARIWISATA DAN PERHOTELAN DARMA AGUNG,B,WILAYAH 01
3094,SEKOLAH TINGGI ILMU KESEHATAN PRIMA INDONESIA,BAIK,WILAYAH 04
3095,POLITEKNIK KETENAGAKERJAAN,BAIK,WILAYAH PTKL
3097,SEKOLAH TINGGI BIBELVROUW HKBP LAGUBOTI,BAIK,WILAYAH PTAS
3099,STMIK KHARISMA MAKASSAR,BAIK,WILAYAH 09
3101,UNIVERSITAS NAHDLATUL ULAMA SURAKARTA,BAIK SEKALI,WILAYAH 06
3102,SEKOLAH TINGGI TEOLOGI ABDI SABDA MEDAN,BAIK,WILAYAH PTAS
3104,POLITEKNIK ILMU PELAYARAN MAKASSAR,BAIK SEKALI,WILAYAH PTKL
3105,STAI AL-HIKMAH 2,BAIK,WILAYAH PTAS
3106,INSTITUT AGAMA ISLAM SHALAHUDDIN AL-AYYUBI TAMBUN BEKASI,BAIK,WILAYAH PTAS
3107,SEKOLAH TINGGI ILMU KESEHATAN ALIFAH PADANG,BAIK SEKALI,WILAYAH 10
3108,UNIVERSITAS DINAMIKA,BAIK SEKALI,WILAYAH 07
3109,SEKOLAH TINGGI TEOLOGI BETHEL MEDAN,BAIK,WILAYAH PTAS
3110,SEKOLAH TINGGI ILMU TARBIYAH MUHAMMADIYAH TANJUNG REDEB BERAU,BAIK,WILAYAH PTAS
3111,SEKOLAH TINGGI TEOLOGI INJILI BETHSAIDA MEDAN,BAIK,WILAYAH PTAS
3112,AKADEMI PEKERJAAN SOSIAL KUPANG,BAIK,WILAYAH 15
3113,STIA DAN MANAJEMEN KEPELABUHAN BARUNAWATI,BAIK SEKALI,WILAYAH 07
3114,POLITEKNIK TRANSPORTASI DARAT INDONESIA - STTD,BAIK SEKALI,WILAYAH PTKL
3115,AKADEMI KOMUNITAS PERKEBUNAN YOGYAKARTA,BAIK,WILAYAH 05
3116,POLITEKNIK ANGKATAN DARAT,BAIK SEKALI,WILAYAH PTKL
3117,POLITEKNIK STMI JAKARTA,BAIK SEKALI,WILAYAH PTKL
3118,UNIVERSITAS UBUDIYAH INDONESIA,BAIK,WILAYAH 13
3120,POLITEKNIK PEKERJAAN UMUM,BAIK,WILAYAH PTKL
3122,POLITEKNIK KALTARA,BAIK,WILAYAH 11
3123,INSTITUT TEKNOLOGI NASIONAL BANDUNG,UNGGUL,WILAYAH 04
3124,UNIVERSITAS YUDHARTA PASURUAN,BAIK SEKALI,WILAYAH 07
3125,SEKOLAH TINGGI ILMU KESEHATAN RESPATI,BAIK SEKALI,WILAYAH 04
3126,INSTITUT AGAMA ISLAM AL-HIKMAH TUBAN,BAIK,WILAYAH PTAS
3127,UNIVERSITAS TRIDHARMA,TIDAK TERAKREDITASI,WILAYAH 11
3128,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AGAMA HINDU SINGARAJA,BAIK,WILAYAH 08
3129,POLITEKNIK RAFLESIA,BAIK,WILAYAH 02
3130,AKADEMI KEPERAWATAN GITA MATURA ABADI KISARAN,BAIK,WILAYAH 01
3131,SEKOLAH TINGGI ILMU EKONOMI BANGKINANG,BAIK SEKALI,WILAYAH 17
3132,"STAI TAPANULI PADANGSIDEMPUAN, SUMATERA UTARA",BAIK,WILAYAH PTAS
3133,SEKOLAH TINGGI ILMU EKONOMI ARTHA BODHI ISWARA,BAIK,WILAYAH 07
3134,STAI NUSANTARA KOTA BANDA ACEH,BAIK,WILAYAH PTAS
3135,SEKOLAH TINGGI ILMU KESEHATAN DATU KAMANRE,BAIK,WILAYAH 09
3136,UNIVERSITAS ISLAM OGAN KOMERING ILIR KAYUAGUNG,BAIK,WILAYAH 02
3137,SEKOLAH TINGGI PERTANIAN KEWIRAUSAHAAN BANAU,BAIK SEKALI,WILAYAH 12
3138,STAI NAHDLATUL ULAMA TASIKMALAYA,BAIK,WILAYAH PTAS
3139,AKADEMI PARIWISATA YOGYAKARTA,BAIK,WILAYAH 05
3140,POLITEKNIK BISNIS DAN PASAR MODAL,BAIK,WILAYAH 03
3141,UNIVERSITAS GUNUNG KIDUL,BAIK,WILAYAH 05
3142,UNIVERSITAS WIDYATAMA,UNGGUL,WILAYAH 04
3143,SEKOLAH TINGGI TEKNOLOGI NUSANTARA INDONESIA,BAIK,WILAYAH 09
3144,SEKOLAH TINGGI AGAMA ISLAM SAYID MOHAMMAD ALAWI AL MALIKI,BAIK,WILAYAH PTAS
3145,SEKOLAH TINGGI BISNIS DAN MANAJEMEN DUA SAUDARA,BAIK,WILAYAH 16
3146,"STIT HAMZAH AL-FANSURI SIBOLGA BARUS TAPANULI TENGAH, SUMATERA UTA",BAIK,WILAYAH PTAS
3147,POLITEKNIK KELAUTAN DAN PERIKANAN BITUNG,BAIK SEKALI,WILAYAH PTKL
3148,"INSTITUT PEMBINA ROHANI ISLAM JAKARTA, CIRACAS, JAKARTA TIMUR",BAIK,WILAYAH PTAS
3149,POLITEKNIK ILMU PEMASYARAKATAN,BAIK,WILAYAH PTKL
3150,SEKOLAH TINGGI AGAMA ISLAM ACEH TAMIANG,BAIK,WILAYAH PTAS
3155,UNIVERSITAS RESPATI YOGYAKARTA,B,WILAYAH 05
3156,AKADEMI MARITIM INDONESIA AIPI,BAIK,WILAYAH 09
3157,UNIVERSITAS CIPASUNG TASIKMALAYA,BAIK,WILAYAH 04
3158,INSTITUT TEKNOLOGI DAN BISNIS WIDYA GAMA LUMAJANG,BAIK,WILAYAH 07
3159,POLITEKNIK PARIWISATA PRIMA INTERNASIONAL,BAIK,WILAYAH 04
3160,POLITEKNIK BAJA TEGAL,BAIK,WILAYAH 06
3161,UNIVERSITAS SATYA WIYATA MANDALA,BAIK,WILAYAH 14
3162,SEKOLAH TINGGI TEKNOLOGI TERPADU NURUL FIKRI,BAIK,WILAYAH 04
3163,UNIVERSITAS ANWAR MEDIKA,BAIK,WILAYAH 07
3166,SEKOLAH TINGGI ILMU HUKUM SUNAN GIRI,BAIK,WILAYAH 07
3168,STAH NEGERI MPU KUTURAN SINGARAJA BALI,BAIK SEKALI,WILAYAH PTAN
3169,AKADEMI KEUANGAN DAN PERBANKAN EFFATA KUPANG,BAIK,WILAYAH 15
3170,UNIVERSITAS MIKROSKIL,B,WILAYAH 01
3171,INSTITUT TEKNOLOGI PAGAR ALAM,BAIK,WILAYAH 02
3174,UNIVERSITAS PAPUA,BAIK SEKALI,WILAYAH PTN
3175,UNIVERSITAS AGUNG PODOMORO,BAIK SEKALI,WILAYAH 03
3176,POLITEKNIK PERKERETAAPIAN INDONESIA MADIUN,BAIK SEKALI,WILAYAH PTKL
3177,UNIVERSITAS KRISTEN INDONESIA,UNGGUL,WILAYAH 03
3178,UNIVERSITAS TEKNOLOGI SUMBAWA,BAIK SEKALI,WILAYAH 08
3179,STMIK PRANATA INDONESIA,BAIK,WILAYAH 04
3181,STEI AR RISALAH CIAMIS JAWA BARAT,BAIK,WILAYAH PTAS
3182,AKADEMI PERIKANAN YOGYAKARTA,BAIK,WILAYAH 05
3185,UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA,UNGGUL,WILAYAH 03
3186,UNIVERSITAS PENDIDIKAN INDONESIA,UNGGUL,WILAYAH PTN
3187,UNIVERSITAS BINA NUSANTARA,UNGGUL,WILAYAH 03
3189,SEKOLAH TINGGI AGAMA ISLAM SYUBBANUL WATHON MAGELANG,BAIK,WILAYAH PTAS
3190,UNIVERSITAS MUHAMMADIYAH MAMUJU,BAIK,WILAYAH 09
3191,UNIVERSITAS NURUL HUDA,BAIK,WILAYAH 02
3192,INSTITUT ILMU SOSIAL DAN MANAJEMEN STIAMI,BAIK SEKALI,WILAYAH 03
3193,SEKOLAH TINGGI ILMU TARBIYAH AL- KIFAYAH RIAU,TIDAK TERAKREDITASI,WILAYAH PTAS
3194,SEKOLAH TINGGI ILMU ADMINISTRASI LANCANG KUNING,BAIK,WILAYAH 17
3196,UNIVERSITAS MERCU BUANA YOGYAKARTA,B,WILAYAH 05
3197,STAK NEGERI TORAJA,BAIK,WILAYAH PTAN
3198,SEKOLAH TINGGI ILMU KESEHATAN BINA GENERASI POLEWALI MANDAR,BAIK,WILAYAH 09
3199,AKADEMI KESEHATAN GIGI KARYA ADI HUSADA MATARAM,BAIK,WILAYAH 08
3201,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BINA MUTIARA,BAIK,WILAYAH 04
3202,STKIP MUHAMMADIYAH BLORA,BAIK,WILAYAH 06
3203,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM TANGGAMUS LAMPUNG,BAIK,WILAYAH PTAS
3204,INSTITUT AGAMA ISLAM NEGERI TAKENGON,BAIK,WILAYAH PTAN
3206,UNIVERSITAS PASIR PENGARAIAN,BAIK,WILAYAH 17
3207,SEKOLAH TINGGI TEOLOGI GLOBAL GLOW INDONESIA JAKARTA,BAIK,WILAYAH PTAS
3208,SEKOLAH TINGGI ILMU EKONOMI SURAKARTA,B,WILAYAH 06
3209,SEKOLAH TINGGI ILMU EKONOMI SAKTI ALAM KERINCI,B,WILAYAH 10
3211,SEKOLAH TINGGI ILMU KESEHATAN PANTI KOSALA,BAIK SEKALI,WILAYAH 06
3212,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER JAKARTA TEKNOLOGI CIPTA,B,WILAYAH 06
3213,SEKOLAH TINGGI ILMU EKONOMI APRIN,B,WILAYAH 02
3214,UNIVERSITAS YARSI,B,WILAYAH 03
3217,UNIVERSITAS UDAYANA,UNGGUL,WILAYAH PTN
3218,POLITEKNIK NASIONAL,BAIK,WILAYAH 08
3219,SEKOLAH TINGGI TEOLOGI APOLLOS JAKARTA,BAIK,WILAYAH PTAS
3220,SEKOLAH TINGGI ILMU ADMINISTRASI SETIH SETIO,B,WILAYAH 10
3221,SEKOLAH TINGGI BAHASA ASING LIA YOGYAKARTA,B,WILAYAH 05
3222,UNIVERSITAS PATTIMURA,B,WILAYAH PTN
3223,SEKOLAH TINGGI TEOLOGI PELITA BANGSA,BAIK,WILAYAH PTAS
3224,SEKOLAH TINGGI ILMU SYARIAH NAHDLATUL ULAMA NUSANTARA TANGERANG,BAIK,WILAYAH PTAS
3225,UNIVERSITAS NEGERI PADANG,UNGGUL,WILAYAH PTN
3226,POLITEKNIK NEGERI UJUNG PANDANG,BAIK SEKALI,WILAYAH PTN
3227,POLITEKNIK STIA LAN BANDUNG,BAIK SEKALI,WILAYAH PTKL
3228,UNIVERSITAS NEGERI YOGYAKARTA,UNGGUL,WILAYAH PTN
3229,UNIVERSITAS MOHAMMAD HUSNI THAMRIN,B,WILAYAH 03
3231,STIE IBEK PANGKALPINANG BANGKA,BAIK,WILAYAH 02
3232,SEKOLAH TINGGI TEOLOGI IMANUEL PACET,BAIK,WILAYAH PTAS
3233,UNIVERSITAS PERADABAN,BAIK,WILAYAH 06
3234,INSTITUT TEKNOLOGI PERUSAHAAN LISTRIK NEGARA,B,WILAYAH 03
3235,INSTITUT TEKNOLOGI DAN BISNIS SWADHARMA,BAIK,WILAYAH 03
3236,STAI AL-HAMIDIYAH JAKARTA,BAIK,WILAYAH PTAS
3237,SEKOLAH TINGGI ILMU TARBIYAH MAKRIFATUL ILMI BENGKULU SELATAN,BAIK,WILAYAH PTAS
3238,INSTITUT AGAMA ISLAM AL-AMANAH JENEPONTO,BAIK,WILAYAH PTAS
3239,SEKOLAH TINGGI AGAMA ISLAM SABILUL MUTTAQQIN MOJOKERTO JAWA TIMUR,BAIK,WILAYAH PTAS
3240,POLITEKNIK PURBAYA,BAIK,WILAYAH 06
3241,INSTITUT AGAMA KRISTEN NEGERI TARUTUNG,BAIK,WILAYAH PTAN
3242,UNIVERSITAS DIAN NUSWANTORO,UNGGUL,WILAYAH 06
3243,UNIVERSITAS ISLAM LAMONGAN,BAIK SEKALI,WILAYAH 07
3244,STKIP AGAMA HINDU AMLAPURA,BAIK,WILAYAH 08
3246,STKIP BABUNNAJAH PANDEGLANG,BAIK,WILAYAH 04
3247,STIKI MALANG,BAIK SEKALI,WILAYAH 07
3248,POLITEKNIK ATK YOGYAKARTA,BAIK SEKALI,WILAYAH PTKL
3249,STAI MA`ARIF JAMBI,BAIK,WILAYAH PTAS
3250,UNIVERSITAS BATAM,B,WILAYAH 17
3251,UNIVERSITAS WIDYA DHARMA PONTIANAK,BAIK,WILAYAH 11
3252,UNIVERSITAS TJUT NYAK DHIEN,BAIK SEKALI,WILAYAH 01
3253,STMIK CATUR SAKTI KENDARI,BAIK,WILAYAH 09
3254,SEKOLAH TINGGI ILMU KESEHATAN TAMALATEA MAKASSAR,BAIK,WILAYAH 09
3255,AKADEMI KOMUNITAS INDUSTRI TEKSTIL DAN PRODUK TEKSTIL SURAKARTA,BAIK,WILAYAH PTKL
3256,UNIVERSITAS BUMI HIJRAH TIDORE,BAIK,WILAYAH 12
3258,SEKOLAH TINGGI BIO SAINS SWADIRI,BAIK,WILAYAH 14
3259,STKIP KUSUMANEGARA,BAIK SEKALI,WILAYAH 03
3261,UNIVERSITAS MUHAMMADIYAH KOTABUMI,B,WILAYAH 02
3262,INSTITUT TEKNOLOGI GARUT,BAIK SEKALI,WILAYAH 04
3263,AKADEMI KEPERAWATAN RUMKIT TINGKAT III MANADO,BAIK,WILAYAH 16
3264,UNIVERSITAS IBN KHALDUN,B,WILAYAH 04
3265,POLITEKNIK TIARA BUNDA,BAIK,WILAYAH 04
3266,SEKOLAH TINGGI ILMU ADMINISTRASI MALANG,BAIK,WILAYAH 07
3267,INSTITUT STUDI ISLAM MUHAMMADIYAH PACITAN,BAIK,WILAYAH PTAS
3268,UNIVERSITAS MEDIKA SUHERMAN,B,WILAYAH 04
3269,UNIVERSITAS PGRI WIRANEGARA,B,WILAYAH 07
3270,SEKOLAH TINGGI ILMU KESEHATAN BULELENG,B,WILAYAH 08
3271,UNIVERSITAS KRISTEN ARTHA WACANA,B,WILAYAH 15
3272,INSTITUT AGAMA ISLAM NEGERI METRO,B,WILAYAH PTAN
3273,UNIVERSITAS MUHAMMADIYAH RIAU,B,WILAYAH 17
3274,UNIVERSITAS MUHAMMADIYAH PURWOREJO,B,WILAYAH 06
3276,POLITEKNIK KESEHATAN UMMI KHASANAH,B,WILAYAH 05
3277,SEKOLAH TINGGI ILMU PENDIDIKAN ISLAM MAGHFIRAH BINA UMAT,BAIK,WILAYAH PTAS
3278,POLITEKNIK STIA LAN JAKARTA,B,WILAYAH PTKL
3279,SEKOLAH TINGGI TEKNOLOGI ANGKATAN LAUT,B,WILAYAH PTKL
3280,INSTITUT MEDIKA DRG. SUHERMAN,B,WILAYAH 04
3281,UNIVERSITAS HAYAM WURUK PERBANAS,A,WILAYAH 07
3282,UNIVERSITAS NAROTAMA,B,WILAYAH 07
3283,UNIVERSITAS NEGERI MEDAN,A,WILAYAH PTN
3284,POLITEKNIK NEGERI SEMARANG,A,WILAYAH PTN
3285,UNIVERSITAS WIDYA DHARMA KLATEN,B,WILAYAH 06
3286,UNIVERSITAS DR SOETOMO,B,WILAYAH 07
3287,SEKOLAH TINGGI ILMU EKONOMI WIDYA WIWAHA,B,WILAYAH 05
3288,SEKOLAH TINGGI FILSAFAT THEOLOGI JAKARTA,B,WILAYAH 03
3289,POLITEKNIK PENERBANGAN MEDAN,B,WILAYAH PTKL
3290,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,B,WILAYAH 04
3291,INSTITUT TEKNOLOGI NASIONAL YOGYAKARTA,B,WILAYAH 05
3293,SEKOLAH TINGGI ILMU KESEHATAN BINA PUTRA BANJAR,B,WILAYAH 04
3294,UNIVERSITAS BENGKULU,B,WILAYAH PTN
3295,UNIVERSITAS PERTAHANAN,A,WILAYAH PTKL
3296,STAI MA`HAD `ALI CIREBON,BAIK,WILAYAH PTAS
3297,UNIVERSITAS SRIWIJAYA,UNGGUL,WILAYAH PTN
3298,UNIVERSITAS TELKOM,UNGGUL,WILAYAH 04
3300,INSTITUT TEKNOLOGI PADANG,B,WILAYAH 10
3301,AKADEMI KEBIDANAN ANUGERAH BINTAN,B,WILAYAH 17
3302,UNIVERSITAS MA CHUNG,B,WILAYAH 07
3303,SEKOLAH TINGGI ILMU KESEHATAN PERTAMEDIKA,B,WILAYAH 03
3304,UNIVERSITAS MUHAMMADIYAH PONTIANAK,B,WILAYAH 11
3305,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG,B,WILAYAH PTKL
3306,POLITEKNIK NEGERI PONTIANAK,B,WILAYAH PTN
3307,UNIVERSITAS MUHAMMADIYAH SURAKARTA,UNGGUL,WILAYAH 06
3308,SEKOLAH TINGGI  ILMU EKONOMI JIU,TIDAK TERAKREDITASI,WILAYAH 04
3309,SEKOLAH TINGGI ILMU KESEHATAN GUNUNG SARI,C,WILAYAH 09
3310,SEKOLAH TINGGI ILMU EKONOMI PEMUDA,BAIK,WILAYAH 07
3311,UNIVERSITAS GRESIK,BAIK SEKALI,WILAYAH 07
3313,SEKOLAH TINGGI ILMU HUKUM AWANG LONG,BAIK SEKALI,WILAYAH 11
3314,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AMAL BAKTI,BAIK,WILAYAH 01
3315,SEKOLAH TINGGI ILMU KESEHATAN PAPUA,BAIK,WILAYAH 14
3316,SEKOLAH TINGGI ILMU KESEHATAN DHARMA HUSADA,BAIK,WILAYAH 04
3317,POLITEKNIK PENERBANGAN MAKASSAR,BAIK,WILAYAH PTKL
3319,AKADEMI SEKRETARI DAN MANAJEMEN DON BOSCO,BAIK,WILAYAH 03
3320,STMIK YMI TEGAL,BAIK,WILAYAH 06
3321,SEKOLAH TINGGI ILMU KESEHATAN HARAPAN BANGSA,BAIK,WILAYAH 07
3322,SEKOLAH TINGGI ILMU HUKUM GRAHA KIRANA,BAIK,WILAYAH 01
3323,AKADEMI BAHASA ASING BALIKPAPAN,BAIK,WILAYAH 11
3324,UNIVERSITAS KATOLIK WIDYA MANDIRA KUPANG,B,WILAYAH 15
3325,INSTITUT AGAMA ISLAM NASIONAL LAA ROIBA BOGOR JAWA BARAT,BAIK,WILAYAH PTAS
3326,SEKOLAH TINGGI ILMU KESEHATAN INDONESIA,BAIK,WILAYAH 10
3327,"STAI SERDANG LUBUK PAKAM, SUMATERA UTARA",BAIK,WILAYAH PTAS
3328,SEKOLAH TINGGI AGAMA ISLAM ISLAMIC CENTRE DEMAK,BAIK,WILAYAH PTAS
3329,POLITEKNIK PELAYARAN SORONG,BAIK,WILAYAH PTKL
3330,STAI AR-ROSYID SURABAYA,BAIK,WILAYAH PTAS
3331,POLITEKNIK KELAUTAN DAN PERIKANAN KUPANG,BAIK,WILAYAH PTKL
3332,SEKOLAH TINGGI ILMU TARBIYAH TOGO AMBARSARI BONDOWOSO JAWA TIMUR,BAIK,WILAYAH PTAS
3333,SEKOLAH TINGGI TEOLOGI BANDUNG,BAIK,WILAYAH PTAS
3334,SEKOLAH TINGGI ILMU TARBIYAH AL MUBAROK BANDAR MATARAM,BAIK,WILAYAH PTAS
3335,POLITEKNIK KELAUTAN DAN PERIKANAN KARAWANG,BAIK SEKALI,WILAYAH PTKL
3336,INSTITUT AGAMA ISLAM BAKTI NEGARA TEGAL,BAIK,WILAYAH PTAS
3337,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA JAKARTA,BAIK,WILAYAH PTAS
3338,SEKOLAH TINGGI TEOLOGI ADHI WACANA SURABAYA,BAIK,WILAYAH PTAS
3339,SEKOLAH TINGGI AGAMA ISLAM MAMBAUL ULUM JAMBI,BAIK,WILAYAH PTAS
3340,SEKOLAH TINGGI BAHASA ASING PONTIANAK,BAIK,WILAYAH 11
3341,INSTITUT ISLAM NAHDLATUL ULAMA TEMANGGUNG,BAIK,WILAYAH PTAS
3344,POLITEKNIK KELAUTAN DAN PERIKANAN DUMAI,BAIK SEKALI,WILAYAH PTKL
3345,STAI BAITUL ARQOM AL-ISLAMI CIPARAY BANDUNG,BAIK,WILAYAH PTAS
3346,POLITEKNIK AHLI USAHA PERIKANAN,BAIK SEKALI,WILAYAH PTKL
3347,INSTITUT AGAMA ISLAM AZ-ZAYTUN INDONESIA,BAIK,WILAYAH PTAS
3349,SEKOLAH TINGGI TEOLOGI ARRABONA BOGOR,BAIK,WILAYAH PTAS
3350,STKIP HAMZAR,BAIK,WILAYAH 08
3351,SEKOLAH TINGGI ILMU KOMUNIKASI ALMAMATER WARTAWAN SURABAYA,BAIK SEKALI,WILAYAH 07
3352,UNIVERSITAS KLABAT,B,WILAYAH 16
3353,SEKOLAH TINGGI AGAMA KRISTEN TERPADU PESAT SALATIGA,BAIK,WILAYAH PTAS
3354,STT BISANRY MAKASSAR,BAIK,WILAYAH PTAS
3355,SEKOLAH TINGGI TEOLOGI SUMATERA UTARA,BAIK,WILAYAH PTAS
3357,SEKOLAH TINGGI TEOLOGI TIBERIAS JAKARTA,BAIK,WILAYAH PTAS
3358,SEKOLAH TINGGI TEOLOGI KINGDOM BALI,BAIK,WILAYAH PTAS
3359,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM DARUSSALAM OGAN KOMERING ILIR SUMSEL,BAIK,WILAYAH PTAS
3360,SEKOLAH TINGGI TEOLOGI HAGIASMOS MISSION JAKARTA,BAIK,WILAYAH PTAS
3361,POLITEKNIK KELAUTAN DAN PERIKANAN PANGANDARAN,BAIK,WILAYAH PTKL
3362,STMIK MARDIRA INDONESIA,BAIK,WILAYAH 04
3363,SEKOLAH TINGGI ILMU EKONOMI KARYA,BAIK,WILAYAH 15
3364,SEKOLAH TINGGI TEKNOLOGI BANDUNG,BAIK,WILAYAH 04
3365,INSTITUT AGAMA ISLAM TRIBAKTI KEDIRI,BAIK,WILAYAH PTAS
3366,SEKOLAH TINGGI TEOLOGI LINTAS BUDAYA JAKARTA,BAIK,WILAYAH PTAS
3367,STT IKAT DI BATAM,BAIK,WILAYAH PTAS
3368,STAK ANAK BANGSA,BAIK,WILAYAH PTAS
3369,INSTITUT AGAMA ISLAM NURUL HAKIM KEDIRI LOMBOK BARAT NTB,BAIK,WILAYAH PTAS
3370,INSTITUT PESANTREN KH. ABDUL CHALIM PACET MOJOKERTO,BAIK,WILAYAH PTAS
3371,UNIVERSITAS MUHAMMADIYAH ENREKANG,BAIK,WILAYAH 09
3372,SEKOLAH TINGGI PENDIDIKAN AGAMA KRISTEN MALANG,BAIK,WILAYAH PTAS
3373,UNIVERSITAS KRISTEN INDONESIA TOMOHON,BAIK,WILAYAH 16
3374,AKADEMI KEBIDANAN MANDIRI GRESIK,BAIK,WILAYAH 07
3375,SEKOLAH TINGGI ILMU ADMINISTRASI ISKANDAR THANI,BAIK,WILAYAH 13
3376,SEKOLAH TINGGI TEOLOGI NUSANTARA SALATIGA,BAIK,WILAYAH PTAS
3379,INSTITUT TEKNOLOGI MINAESA,BAIK,WILAYAH 16
3380,INSTITUT TEKNOLOGI DAN BISNIS KALBIS,BAIK SEKALI,WILAYAH 03
3381,SEKOLAH TINGGI AGAMA KRISTEN TERUNA BHAKTI,BAIK,WILAYAH PTAS
3382,STT INDONESIA MANADO,BAIK,WILAYAH PTAS
3383,UNIVERSITAS WIDYA GAMA,B,WILAYAH 07
3384,POLITEKNIK ASTRA,B,WILAYAH 03
3385,UNIVERSITAS MUHAMMADIYAH MATARAM,B,WILAYAH 08
3386,SEKOLAH TINGGI TEOLOGI ERIKSON TRITT,BAIK,WILAYAH PTAS
3387,SEKOLAH TINGGI TEOLOGI ATI ANJUNGAN PONTIANAK,BAIK,WILAYAH PTAS
3388,SEKOLAH TINGGI TEOLOGI INJIL BHAKTI CARAKA BATAM,BAIK,WILAYAH PTAS
3389,SEKOLAH TINGGI TEOLOGI GEREJA PENTAKOSTA DI INDONESIA PEMATANG SIANTAR,BAIK,WILAYAH PTAS
3390,STIT MUHAMMADIYAH PACIRAN,BAIK,WILAYAH PTAS
3392,SEKOLAH TINGGI ILMU KESEHATAN SALSABILA SERANG,BAIK,WILAYAH 04
3394,SEKOLAH TINGGI AGAMA KRISTEN BINA MUDA WIRAWAN WONOGIRI,BAIK,WILAYAH PTAS
3396,SEKOLAH TINGGI ILMU EKONOMI GRAHA KIRANA,BAIK,WILAYAH 01
3398,SEKOLAH TINGGI ILMU KESEHATAN RS BAPTIS KEDIRI,B,WILAYAH 07
3399,SEKOLAH TINGGI THEOLOGIA NAZARENE INDONESIA,BAIK,WILAYAH PTAS
3400,POLITEKNIK PEMBANGUNAN PERTANIAN MALANG,BAIK SEKALI,WILAYAH PTKL
3401,SEKOLAH TINGGI THEOLOGIA INJILI INDONESIA LOMBOK,TIDAK TERAKREDITASI,WILAYAH PTAS
3403,SEKOLAH TINGGI AGAMA KRISTEN LENTERA BANGSA MANADO,BAIK,WILAYAH PTAS
3404,SEKOLAH TINGGI TEOLOGI PARAKLETOS TOMOHON,BAIK,WILAYAH PTAS
3405,INSTITUT TEKNOLOGI DAN BISNIS ASIA MALANG,BAIK,WILAYAH 07
3406,POLITEKNIK PEMBANGUNAN PERTANIAN BOGOR,B,WILAYAH PTKL
3407,UNIVERSITAS KRISTEN PAPUA,BAIK,WILAYAH 14
3408,UNIVERSITAS SIMALUNGUN,B,WILAYAH 01
3409,SEKOLAH TINGGI TEOLOGI INTHEOS SURAKARTA,BAIK,WILAYAH PTAS
3410,SEKOLAH TINGGI AGAMA KRISTEN OIKUMENE TIMIKA,BAIK,WILAYAH PTAS
3412,"STAI AZZIYADAH KLENDER, JAKARTA TIMUR",BAIK,WILAYAH PTAS
3414,SEKOLAH TINGGI PEMBANGUNAN MASYARAKAT DESA APMD,B,WILAYAH 05
3415,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA PALU,BAIK,WILAYAH PTAS
3416,SEKOLAH TINGGI TEOLOGI RAHMAT EMMANUEL JAKARTA,BAIK,WILAYAH PTAS
3417,STAIN BENGKALIS,BAIK,WILAYAH PTAN
3419,"SEKOLAH TINGGI EKONOMI ISLAM MASYARAKAT MADANI, PAMEKASAN JAWA TIMUR",BAIK,WILAYAH PTAS
3420,SEKOLAH TINGGI TEOLOGI KALVARI MALUKU UTARA,TIDAK TERAKREDITASI,WILAYAH PTAS
3422,SEKOLAH TINGGI TEOLOGI DIAKONOS,BAIK,WILAYAH PTAS
3423,UNIVERSITAS BINA BANGSA,BAIK,WILAYAH 04
3424,SEKOLAH TINGGI AGAMA ISLAM DARUTTAQWA MANYAR GRESIK,BAIK,WILAYAH PTAS
3426,AKADEMI METROLOGI DAN INSTRUMENTASI,BAIK,WILAYAH PTKL
3427,STAI SABILI BANDUNG,BAIK,WILAYAH PTAS
3428,SEKOLAH TINGGI ILMU KOMPUTER MUHAMMADIYAH BATAM,BAIK,WILAYAH 17
3429,"STAI HIKMATUL FADHILAH MEDAN, SUMATERA UTARA",BAIK,WILAYAH PTAS
3430,INSTITUT AGAMA ISLAM AL-FALAH AS-SUNNIYAH KENCONG JEMBER JAWA TIMUR,BAIK,WILAYAH PTAS
3431,STIS AL-HILAL SIGLI KAB. PIDIE,BAIK,WILAYAH PTAS
3432,SEKOLAH TINGGI DESAIN INDONESIA BANDUNG,BAIK,WILAYAH 04
3433,STIQ MIFTAHUL HUDA RAWALO BANYUMAS JAWA TENGAH,BAIK,WILAYAH PTAS
3434,STAI PERSIS GARUT,BAIK,WILAYAH PTAS
