institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,cluster_label,link
UNIVERSITAS KRISTEN DUTA WACANA,DI YOGYAKARTA,INFORMATIKA,B,16000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-duta-wacana
UNIVERSITAS KRISTEN DUTA WACANA,DI YOGYAKARTA,SISTEM INFORMASI,B,16000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-duta-wacana
UNIVERSITAS SARJANAWIYATA TAMANSISWA,DI YOGYAKARTA,INFORMATIKA,BAIK,14430003.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sarjanawiyata-tamansiswa
UNIVERSITAS KRISTEN IMMANUEL,DI YOGYAKARTA,INFORMATIKA,BAIK SEKALI,13575923.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA,A,12200000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,KOMPUTER,UNGGUL,12200000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN INFORMATIKA,A,12200000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,SAINS DATA,BAIK SEKALI,12200000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,SISTEM INFORMASI,B,12200000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,SISTEM KOMPUTER,B,12200000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,TEKNOLOGI INFORMASI,UNGGUL,12200000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA,B,12100000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,SISTEM INFORMASI,BAIK,12100000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA,BAIK SEKALI,12000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,KOMPUTER,BAIK SEKALI,12000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,DI YOGYAKARTA,INFORMATIKA,BAIK SEKALI,11669000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,DI YOGYAKARTA,KOMPUTER,BAIK SEKALI,11669000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,DI YOGYAKARTA,SISTEM INFORMASI,BAIK SEKALI,11669000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS AKPRIND INDONESIA,DI YOGYAKARTA,INFORMATIKA,BAIK SEKALI,10630000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS AKPRIND INDONESIA,DI YOGYAKARTA,REKAYASA PERANGKAT LUNAK,BAIK SEKALI,10630000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA,BAIK SEKALI,10300000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-amikom-yogyakarta
UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,KOMPUTER,BAIK,10300000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-amikom-yogyakarta
UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,SISTEM INFORMASI,UNGGUL,10300000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-amikom-yogyakarta
UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,TEKNOLOGI INFORMASI,BAIK,10300000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-amikom-yogyakarta
