parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Universitas Nahdlatul Ulama Sumatera Utara,Budidaya Pertanian,S1,01,6594/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-28
Universitas Kristen Palangka Raya,Budidaya Perairan,S1,11,6601/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,Baik Sekali,2027-09-28
Universitas Pendidikan Ganesha,Manajemen Informatika,D-III,PTN,6599/SK/BAN-PT/Ak.Ppj/D3/IX/2022,2022,Baik,2027-09-28
Institut Agama Islam (IAI) Al-Khoziny,Manajemen Pendidikan Islam,S1,PTAS,6595/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-28
STAI ALHIKMAH Jakarta Selatan,Pendidikan Agama Islam,S1,PTAS,6600/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,Baik,2027-09-28
Institut Agama Islam (IAI) Al-Azhaar Lubuklinggau,Pendidikan Bahasa Arab,S1,PTAS,6593/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-28
IAIN Sultan Amai Gorontalo,Hukum Tatanegara (Siyasah),S1,PTAN,6597/SK/BAN-PT/Ak/S/IX/2022,2022,Baik Sekali,2027-09-28
Sekolah Tinggi Teologi Injili Indonesia Surabaya,Teologi,S3,PTAS,8326/SK/BAN-PT/Ak.KP/D/X/2022,2022,Baik,2025-10-21
Institut Agama Islam  Muhammadiyah Sinjai,Perbankan Syariah,S1,PTAS,8624/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-11-10
Institut Sains Al-Qur'an Syekh Ibrahim Pasir Pangaraian Rokan Hulu,Ilmu Al Quran Dan Tafsir,S1,PTAS,8786/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-11-10
"Sekolah Tinggi Agama Islam (STAI) Khozinatul Ulum, Blora, Jawa Tengah",Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS,9502/SK/BAN-PT/Ak/S/XI/2022,2022,Baik,2027-11-15
Sekolah Tinggi Ilmu Tarbiyah Lingga Kepulauan Riau,Manajemen Pendidikan Islam,S1,PTAS,7856/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-11-17
Politeknik Ilmu Pemasyarakatan,Teknik Pemasyarakatan,D-IV,PTKL,8804/SK/BAN-PT/Ak.KP/STr/X/2022,2022,Baik,2025-11-17
Sekolah Tinggi Teologi Paulus Medan,Pendidikan Agama Kristen,S1,PTAS,9280/SK/BAN-PT/Ak.KP/S/XI/2022,2022,Baik,2025-11-17
Universitas Islam Negeri Sunan Kalijaga,Aqidah Dan Filsafat Islam,S1,PTAN,3691/SK/BAN-PT/Akred-Itnl/S/IX/2023,2023,Unggul,2028-03-21
"STAI Al-Ghazali Soppeng, Sulawesi Selatan",Ekonomi Syariah,S1,PTAS,9197/SK/BAN-PT/Ak.KP/S/XI/2022,2022,Baik,2025-11-18
Universitas Muhammadiyah Riau,Psikologi Islam,S1,17,6648/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-10-07
