institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-149,Sekolah Tinggi Ilmu Kesehatan Mitra Keluarga,Terakreditasi,2517/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,03,2030-09-16
banpt-150,Akademi Farmasi Indonesia Yogyakarta,Terakreditasi,2516/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,05,2030-09-05
banpt-151,Sekolah Tinggi Ilmu Keperawatan PPNI Jawa Barat,Terakreditasi,2514/SK/BAN-PT/Ak.Ppj/2.0/PT/VIII/2025,2025,04,2030-08-23
banpt-152,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap,Baik,2706/SK/BAN-PT/Ak.Ppj/PT/IX/2025,2025,06,2030-06-24
banpt-153,Universitas BPD,Baik Sekali,2705/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,06,2028-10-16
banpt-154,Sekolah Tinggi Ilmu Tarbiyah Al Hikmah Benda,Baik,2702/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-10
banpt-155,Sekolah Tinggi Teknologi Muhammadiyah AR Fachruddin,Baik,2700/SK/BAN-PT/Ak/PT/IX/2025,2025,07,2030-09-10
banpt-156,STAI Ki Ageng Pekalongan,Baik Sekali,2703/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-10
banpt-157,Institut Teknologi dan Bisnis Ahmad Dahlan Lamongan,Baik Sekali,2701/SK/BAN-PT/Ak/PT/IX/2025,2025,07,2030-09-10
banpt-158,"STAI Muhammadiyah (STAIM) Blora, Jawa Tengah",Baik Sekali,2699/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-10
banpt-159,Institut Agama Islam STIBA Makassar,Baik,2704/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,PTAS,2028-08-18
banpt-160,Universitas Wiraraja,Baik Sekali,2690/SK/BAN-PT/Ak/PT/IX/2025,2025,07,2030-09-09
banpt-161,Akademi Komunitas Industri Manufaktur Bantaeng,Baik Sekali,2692/SK/BAN-PT/Ak/PT/IX/2025,2025,PTKL,2030-09-09
