quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
quipper-40,rencanamu-208,banpt-3123,-,ILMU SOSIAL DAN ILMU POLITIK,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,TEKNIK,TEKNIK INDUSTRI,INDUSTRI,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,TEKNIK,INFORMATIKA,INFORMATIKA,S1,B,287,1,Teknik & Rekayasa
quipper-40,rencanamu-208,banpt-3123,-,KEDOKTERAN,PENDIDIKAN DOKTER,KEDOKTERAN,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,PERTANIAN DAN PETERNAKAN,KEHUTANAN,KEHUTANAN,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,LLMU KESEHATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,ILMU SOSIAL DAN ILMU POLITIK,KESEJAHTERAAN SOSIAL,KESEJAHTERAAN SOSIAL,S1,A,287,0,Ekonomi & Bisnis
quipper-40,-,-,-,EKONOMI DAN BISNIS,KEUANGAN DAN PERBANKAN,KEUANGAN PERBANKAN,S1,-,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,EKONOMI DAN BISNIS,MANAJEMEN,MANAJEMEN,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,TEKNIK,TEKNIK MESIN,MESIN,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,PANCASILA KEWARGANEGARAAN,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,ILMU SOSIAL DAN ILMU POLITIK,ILMU PEMERINTAHAN,PEMERINTAHAN,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,PERTANIAN DAN PETERNAKAN,PETERNAKAN,PETERNAKAN,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,PSIKOLOGI,PSIKOLOGI,PSIKOLOGI,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,TEKNIK,TEKNIK SIPIL,SIPIL,S1,B,287,5,Sains & Teknologi
quipper-40,rencanamu-208,banpt-3123,-,ILMU SOSIAL DAN ILMU POLITIK,SOSIOLOGI,SOSIOLOGI,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,PERTANIAN DAN PETERNAKAN,TEKNOLOGI PANGAN,TEKNOLOGI PANGAN,S1,A,287,0,Ekonomi & Bisnis
-,-,banpt-553,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,BAIK,1380,0,Ekonomi & Bisnis
-,-,banpt-553,-,-,KEHUTANAN,KEHUTANAN,S1,BAIK,1380,0,Ekonomi & Bisnis
-,-,banpt-553,-,-,ILMU KELAUTAN,KELAUTAN,S1,BAIK,1380,0,Ekonomi & Bisnis
-,-,banpt-553,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,BAIK,1380,0,Ekonomi & Bisnis
-,-,banpt-553,-,-,PERIKANAN TANGKAP,PERIKANAN,S1,BAIK,1380,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,B,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,AGRIBISNIS,AGRIBISNIS,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,AKUNTANSI,AKUNTANSI,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,PENDIDIKAN GURU SD,GURU SEKOLAH DASAR,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,ILMU HUKUM,HUKUM,S1,B,825,0,Ekonomi & Bisnis
