institution_name,prodi_name,jenjang,akreditasi_prodi,status_pencocokan
UNIVERSITAS DARUSSALAM GONTOR,HUKUM EKONOMI SYARIAH,S2,UNGGUL,BERHASIL
SEKOLAH TINGGI BAHASA ASING PRAYOGA,SASTRA INGGRIS,S1,BAIK,BERHASIL
AKADEMI PARIWISATA 45 JAYAPURA,PERHOTELAN,D-III,BAIK,BERHASIL
POLITEKNIK STIA LAN BANDUNG,MANAJEMEN SUMBER DAYA MANUSIA APARATUR,D-IV,UNGGUL,BERHASIL
UNIVERSITAS BUMIGORA,DESAIN KOMUNIKASI VISUAL,S1,BAIK,BERHASIL
UNIVERSITAS SUMATERA UTARA,TEKNIK ARSITEKTUR,S2,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM CIREBON,HUKUM KELUARGA,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI SJECH M. DJAMIL DJAMBEK BUKITTINGGI,SEJARAH PERADABAN ISLAM,S1,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI WALISONGO SEMARANG,SOSIOLOGI,S1,UNGGUL,BERHASIL
UNIVERSITAS INDONESIA,ASIA TIMUR,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS PENDIDIKAN INDONESIA,INDUSTRI PARIWISATA,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM BANDUNG,PERENCANAAN WILAYAH DAN KOTA,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS SUMATERA UTARA,ILMU ADMINISTRASI PUBLIK,S2,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI WALISONGO SEMARANG,ILMU POLITIK,S1,UNGGUL,BERHASIL
UNIVERSITAS DARUSSALAM AMBON,AGROTEKNOLOGI,S1,BAIK SEKALI,BERHASIL
STIS AL-ITTIHAD BIMA YAYASAN PENDIDIKAN AL-ITIHAD BIMA NTB,HUKUM KELUARGA,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,KOMUNIKASI DAN PENYIARAN ISLAM,S2,UNGGUL,BERHASIL
INSTITUT TEKNOLOGI BACHARUDDIN JUSUF HABIBIE,TEKNOLOGI PANGAN,S1,BAIK,BERHASIL
UNIVERSITAS BOROBUDUR,ILMU HUKUM,S2,UNGGUL,BERHASIL
UNIVERSITAS SYIAH KUALA,KEHUTANAN,S1,BAIK,GAGAL COCOK
UNIVERSITAS BINA SARANA INFORMATIKA,HUBUNGAN MASYARAKAT,D-III,BAIK,BERHASIL
UNIVERSITAS 17 AGUSTUS 1945 SAMARINDA,HUKUM,S1,B,BERHASIL
STIU DIROSAT ISLAMIYAH AL-HIKMAH JAKARTA SELATAN,ILMU AL-QUR'AN DAN TAFSIR,S1,BAIK,BERHASIL
UNIVERSITAS ANNUQAYAH,ILMU KOMUNIKASI,S1,TERAKREDITASI SEMENTARA,BERHASIL
UNIVERSITAS ISLAM AN NUR LAMPUNG,PENDIDIKAN BAHASA ARAB,S1,BAIK,BERHASIL
UNIVERSITAS SULAWESI RAYA,HUKUM,S1,TERAKREDITASI SEMENTARA,BERHASIL
STT JEMAAT KRISTUS INDONESIA SALATIGA,TEOLOGI,S1,BAIK,BERHASIL
INSTITUT PERTANIAN BOGOR,BIOKIMIA,S2,UNGGUL,BERHASIL
UNIVERSITAS NEGERI MALANG,BIOLOGI,S2,UNGGUL,BERHASIL
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN KIMIA,S2,UNGGUL,BERHASIL
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN KEJURUAN,S2,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI MATARAM,MANAJEMEN PENDIDIKAN ISLAM,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS PASIR PENGARAIAN,PENDIDIKAN OLAHRAGA DAN KESEHATAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS NEGERI MALANG,PENDIDIKAN LUAR SEKOLAH,S1,UNGGUL,BERHASIL
INSTITUT AGAMA ISLAM NEGERI PONOROGO,MANAJEMEN PENDIDIKAN ISLAM,S2,UNGGUL,BERHASIL
UNIVERSITAS MUHAMMADIYAH LAMPUNG,INFORMATIKA,S1,BAIK,BERHASIL
INSTITUT KEUANGAN-PERBANKAN DAN INFORMATIKA ASIA PERBANAS,SAINS DATA,S1,BAIK,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN PERMATA NUSANTARA, CIANJUR",ILMU KEPERAWATAN,S1,BAIK,BERHASIL
UNIVERSITAS MA&#039;ARIF LAMPUNG,PERBANKAN SYARIAH,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS UNIVERSAL,PENDIDIKAN BAHASA MANDARIN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS IBRAHIMY,PENDIDIKAN AGAMA ISLAM,S1,UNGGUL,BERHASIL
UNIVERSITAS MUHAMMADIYAH SUKABUMI,PENDIDIKAN GURU SEKOLAH DASAR,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN CITRA BAKTI,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH SUKABUMI,PENDIDIKAN MATEMATIKA,S1,UNGGUL,BERHASIL
UNIVERSITAS NGUDI WALUYO,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM IHYAUL ULUM GRESIK,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI AGAMA ISLAM YAPNAS JENEPONTO,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS MUHAMMADIYAH KENDARI,PENDIDIKAN LUAR SEKOLAH,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM NEGERI MAHMUD YUNUS BATUSANGKAR,BIMBINGAN DAN KONSELING PENDIDIKAN ISLAM,S2,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM RIAU,PENDIDIKAN AGAMA ISLAM,S3,UNGGUL,BERHASIL
UNIVERSITAS MULAWARMAN,PENDIDIKAN MATEMATIKA,S1,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI MAHMUD YUNUS BATUSANGKAR,MANAJEMEN PENDIDIKAN ISLAM,S2,UNGGUL,BERHASIL
SEKOLAH TINGGI TEOLOGI SRIWIJAYA PALEMBANG,PENDIDIKAN AGAMA KRISTEN,S1,BAIK,GAGAL COCOK
SEKOLAH TINGGI AGAMA ISLAM NAHDLATUL ULAMA MADIUN,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN ANAK USIA DINI,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS SANATA DHARMA,PENDIDIKAN EKONOMI,S1,UNGGUL,BERHASIL
UNIVERSITAS ISLAM BALITAR,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS BUMI HIJRAH TIDORE,PENDIDIKAN BAHASA INGGRIS,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI ILMU TARBIYAH LAKBOK,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,BERHASIL
INSTITUT AGAMA ISLAM AL-AMANAH JENEPONTO,PENDIDIKAN AGAMA ISLAM,S2,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI SULTAN THAHA SAIFUDDIN JAMBI,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS INSAN BUDI UTOMO,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM AULIAURRASYIDIN,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS ALMUSLIM,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,S2,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS NGUDI WALUYO,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM NEGERI LHOKSEUMAWE,MANAJEMEN PENDIDIKAN ISLAM,S2,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI ILMU TARBIYAH PRINGSEWU LAMPUNG SELATAN,MANAJEMEN PENDIDIKAN ISLAM,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS INDRAPRASTA PGRI,PENDIDIKAN SEJARAH,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI TEOLOGI MORIAH TANGERANG,PENDIDIKAN AGAMA KRISTEN,S1,BAIK,BERHASIL
INSTITUT AGAMA ISLAM NEGERI MADURA,PENDIDIKAN BAHASA ARAB,S1,UNGGUL,BERHASIL
UNIVERSITAS AHMAD DAHLAN,PENDIDIKAN GURU SEKOLAH DASAR,S1,UNGGUL,BERHASIL
UNIVERSITAS PGRI PALEMBANG,PENDIDIKAN GURU SEKOLAH DASAR,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI TEOLOGI BERITA HIDUP,PENDIDIKAN AGAMA KRISTEN,S1,BAIK,GAGAL COCOK
UNIVERSITAS MUHAMMADIYAH PURWOKERTO,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,UNGGUL,BERHASIL
UNIVERSITAS MUHAMMADIYAH TAPANULI SELATAN,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN PGRI TRENGGALEK,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK SEKALI,GAGAL COCOK
INSTITUT AGAMA ISLAM DARUD DA&#039;WAH WAL IRSYAD SIDENRENG RAPPANG,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
INSTITUT AGAMA ISLAM DEPOK,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI ILMU TARBIYAH QURROTA AYUN,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM MUSLIM ASIA AFRIKA,PENDIDIKAN AGAMA ISLAM,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM MAKASSAR,PENDIDIKAN BAHASA INGGRIS,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM SYEKH JANGKUNG,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,BERHASIL
INSTITUT PENDIDIKAN TAPANULI SELATAN,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM SYARIFUDDIN WONOREJO LUMAJANG,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS ISLAM NEGERI SAYYID ALI RAHMATULLAH TULUNGAGUNG,TADRIS ILMU PENGETAHUAN SOSIAL,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN PGRI BANGKALAN,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS BUMI HIJRAH TIDORE,PENDIDIKAN FISIKA,S1,BAIK,BERHASIL
UNIVERSITAS HAMZANWADI,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM MEMPAWAH PONTIANAK,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS ISLAM NEGERI SULTAN THAHA SAIFUDDIN JAMBI,TADRIS BAHASA INGGRIS,S1,UNGGUL,GAGAL COCOK
UNIVERSITAS SEBELAS APRIL,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN DARUSSALAM CILACAP,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS AKPRIND INDONESIA,INFORMATIKA,S1,BAIK SEKALI,BERHASIL
AMIK TRI DHARMA PALU,TEKNIK INFORMATIKA,D-III,BAIK,BERHASIL
AMIK TRI DHARMA PALU,MANAJEMEN INFORMATIKA,D-III,BAIK,BERHASIL
"UNIVERSITAS JENDERAL SOEDIRMAN, PURWOKERTO",ILMU BIOMEDIS,S2,BAIK SEKALI,BERHASIL
POLITEKNIK KEUANGAN NEGARA STAN,MANAJEMEN KEUANGAN NEGARA,D-IV,BAIK SEKALI,BERHASIL
POLITEKNIK KEUANGAN NEGARA STAN,MANAJEMEN ASET PUBLIK,D-IV,BAIK SEKALI,BERHASIL
"UNIVERSITAS GADJAH MADA, YOGYAKARTA","BEDAH TORAKS, KARDIAK DAN VASKULAR",SPESIALIS,BAIK,BERHASIL
"UNIVERSITAS AIRLANGGA, SURABAYA",TEKNOLOGI KESEHATAN GIGI,D-IV,BAIK,BERHASIL
"POLITENIK KESEHATAN YAPKESBI, SUKABUMI",BIDAN,PROFESI,BAIK,GAGAL COCOK
"POLITENIK KESEHATAN YAPKESBI, SUKABUMI",FARMASI,D-III,BAIK,GAGAL COCOK
"AKADEMI TEKNOLOGI RADIOLOGI, BOGOR",TEKNOLOGI RADIOLOGI PENCITRAAN,D-IV,BAIK,BERHASIL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK, PONTIANAK",GIZI DAN DIETETIKA,D-IV,UNGGUL,GAGAL COCOK
"UNIVERSITAS DR. SOEBANDI, JEMBER",TEKNOLOGI LABORATORIUM MEDIS,D-IV,UNGGUL,BERHASIL
"POLITEKNIK KESEHATAN KARTINI BALI, DENPASAR",PROMOSI KESEHATAN,D-IV,BAIK SEKALI,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN PGI CIKINI, JAKARTA",KEPERAWATAN,D-III,BAIK SEKALI,BERHASIL
"UNIVERSITAS KATOLIK DE LA SALLE MANADO, MANADO",FISIOTERAPI,D-III,BAIK,GAGAL COCOK
"UNIVERSITAS SINDANG KASIH MAJALENGKA, MAJALENGKA",KEPERAWATAN,D-III,BAIK SEKALI,BERHASIL
"SEKOLAH TINGGI FARMASI RIAU, PEKANBARU",FARMASI,S2,BAIK,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN CIANJUR, CIANJUR",KEBIDANAN,S1,BAIK,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN CIANJUR, CIANJUR",BIDAN,PROFESI,BAIK,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN PEMKAB JOMBANG, JOMBANG",ADMINISTRASI KESEHATAN,S1,BAIK,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN PEMKAB JOMBANG, JOMBANG",KESELAMATAN DAN KESEHATAN KERJA,S1,BAIK,BERHASIL
"UNIVERSITAS BRAWIJAYA, MALANG",PENYAKIT DALAM,-,BAIK,BERHASIL
"UNIVERSITAS HANG TUAH, SURABAYA",APOTEKER,PROFESI,BAIK,BERHASIL
"UNIVERSITAS MUHAMMADIYAH PONOROGO, PONOROGO",FISIOTERAPI,S1,BAIK,BERHASIL
"UNIVERSITAS MUHAMMADIYAH SIDOARJO, SIDOARJO",KEDOKTERAN GIGI,S1,BAIK,BERHASIL
"UNIVERSITAS MUHAMMADIYAH SIDOARJO, SIDOARJO",DOKTER GIGI,PROFESI,BAIK,BERHASIL
"UNIVERSITAS SARI PUTRA INDONESIA TOMOHON, TOMOHON",KEPERAWATAN ANESTESIOLOGI,D-IV,BAIK,BERHASIL
"UNIVERSITAS TIDAR, MAGELANG",FARMASI,D-III,BAIK,BERHASIL
UNIVERSITAS ROYAL,MANAJEMEN,S1,BAIK,BERHASIL
INSTITUT KEUANGAN-PERBANKAN DAN INFORMATIKA ASIA PERBANAS,MANAJEMEN,S3,BAIK,GAGAL COCOK
UNIVERSITAS PADJADJARAN,BIOTEKNOLOGI,S2,UNGGUL,BERHASIL
UNIVERSITAS WIRA BHAKTI,AKUNTANSI,S1,B,BERHASIL
UNIVERSITAS AL WASHLIYAH DARUSSALAM BANDA ACEH,ANTROPOLOGI,S1,BAIK,BERHASIL
"UNIVERSITAS DHARMA ANDALAS, PADANG",FARMASI,S1,BAIK,BERHASIL
SEKOLAH TINGGI TEKNOLOGI INDONESIA,TEKNIK INFORMATIKA,S1,BAIK,BERHASIL
UNIVERSITAS BHAYANGKARA SURABAYA,MANAJEMEN,S1,BAIK SEKALI,BERHASIL
IAIN SULTAN AMAI GORONTALO,EKONOMI SYARI'AH,S1,UNGGUL,BERHASIL
UNIVERSITAS MUHAMMADIYAH MAKASSAR,TEKNOLOGI PENDIDIKAN,S1,UNGGUL,BERHASIL
UNIVERSITAS MERCU BUANA YOGYAKARTA,BIMBINGAN KONSELING,S1,UNGGUL,BERHASIL
INSTITUT ILMU AL-QUR&#039;AN JAKARTA,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI AGAMA ISLAM AHMAD SIBAWAYHIE,PENDIDIKAN BAHASA ARAB,S1,BAIK,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM IBNU SINA BATAM,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI AGAMA ISLAM SYEKH JANGKUNG,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM LAMONGAN,PENDIDIKAN AGAMA ISLAM,S2,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM SUMATERA MEDAN,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,GAGAL COCOK
UNIVERSITAS ISLAM RADEN RAHMAT,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM YAPATA AL-JAWAMI BANDUNG,PENDIDIKAN AGAMA ISLAM,S1,BAIK,GAGAL COCOK
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AL-AMIN INDRAMAYU,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI PASTORAL ST. SIRILUS RUTENG,PENDIDIKAN KEAGAMAAN KATOLIK,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS MUHAMMADIYAH SUMATERA BARAT,PENDIDIKAN BAHASA ARAB,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH PRINGSEWU LAMPUNG,ADMINISTRASI PENDIDIKAN,S2,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM NEGERI KUDUS,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH TAPANULI SELATAN,PENDIDIKAN KIMIA,S1,BAIK,BERHASIL
INSTITUT TURATEA INDONESIA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM MIFTAHUL ULUM TARATE PANDIAN SUMENEP,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS GARUT,PENDIDIKAN OLAHRAGA,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS NAHDLATUL ULAMA PURWOKERTO,PENDIDIKAN BAHASA INGGRIS,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS TADULAKO,PENDIDIKAN JASMANI,S2,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI FATMAWATI SUKARNO BENGKULU,TADRIS MATEMATIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS NURUL HASANAH KUTACANE,PENDIDIKAN TEKNOLOGI INFORMASI,S1,BAIK,BERHASIL
UNIVERSITAS NEGERI SURABAYA,BIMBINGAN DAN KONSELING,S2,UNGGUL,BERHASIL
INSTITUT TURATEA INDONESIA,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM AL-GAZALI BONE,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM NEGERI FATMAWATI SUKARNO BENGKULU,TADRIS ILMU PENGETAHUAN SOSIAL,S1,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM RIAU,PENDIDIKAN AGAMA ISLAM,S2,UNGGUL,BERHASIL
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA MANDARIN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS JAMBI,PENDIDIKAN ILMU PENGETAHUAN ALAM,S2,UNGGUL,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM ALIF LAAM MIIM SURABAYA,MANAJEMEN PENDIDIKAN ISLAM,S1,BAIK,BERHASIL
INSTITUT AGAMA ISLAM AGUS SALIM METRO LAMPUNG,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS ISLAM NUSANTARA,PENDIDIKAN AGAMA ISLAM,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI ILMU TARBIYAH INTERNASIONAL MUHAMMADIYAH BATAM,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM ALIF LAAM MIIM SURABAYA,PENDIDIKAN AGAMA ISLAM,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI ANTASARI BANJARMASIN,TADRIS FISIKA,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI ILMU TARBIYAH AL-IBROHIMY BANGKALAN,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
INSTITUT PRIMA BANGSA,PENDIDIKAN BAHASA INGGRIS,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS KRISTEN INDONESIA TOMOHON,PENDIDIKAN BAHASA INGGRIS,S1,BAIK,BERHASIL
INSTITUT KEGURUAN DAN ILMU PENDIDIKAN SILIWANGI,PENDIDIKAN MATEMATIKA,S1,UNGGUL,BERHASIL
UNIVERSITAS DARUSSALAM AMBON,PENDIDIKAN FISIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MATARAM,PENDIDIKAN BAHASA INDONESIA,S2,UNGGUL,BERHASIL
UNIVERSITAS SEBELAS MARET,PENDIDIKAN KIMIA,S1,UNGGUL,BERHASIL
UNIVERSITAS CENDERAWASIH,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM AHMAD DAHLAN,TADRIS MATEMATIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH BANDUNG,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM,PENDIDIKAN PROFESI GURU,PROFESI,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,UNGGUL,BERHASIL
UNIVERSITAS AL ASYARIAH MANDAR,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN YAYASAN ABDI PENDIDIKAN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,BAIK SEKALI,GAGAL COCOK
"SEKOLAH TINGGI AGAMA ISLAM DDI MANGKOSO, BARRU",PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI AGAMA ISLAM NAHDLATUL ULAMA PURWOREJO,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI AGAMA ISLAM TASWIRUL AFKAR SURABAYA,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS MUHAMMADIYAH KUNINGAN,PENDIDIKAN TEKNOLOGI INFORMASI DAN KOMUNIKASI,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI ILMU TARBIYAH INTERNASIONAL MUHAMMADIYAH BATAM,PENDIDIKAN BAHASA ARAB,S1,BAIK,BERHASIL
UNIVERSITAS TADULAKO,PENDIDIKAN SAINS,S3,BAIK SEKALI,BERHASIL
UNIVERSITAS DHARMAWANGSA,PENDIDIKAN AGAMA ISLAM,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUTIARA BANTEN,PENDIDIKAN TEKNOLOGI INFORMASI,S1,BAIK,GAGAL COCOK
STIT ALHIKMAH TEBING TINGGI SUMATERA UTARA,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,GAGAL COCOK
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM RIAU,ADMINISTRASI PERPAJAKAN,D-III,BAIK SEKALI,BERHASIL
UNIVERSITAS GRAHA KARYA MUARA BULIAN,AKUNTANSI,D-III,BAIK,BERHASIL
UNIVERSITAS NEGERI MALANG,MANAJEMEN PEMASARAN,D-IV,BAIK SEKALI,BERHASIL
POLITEKNIK PIKSI GANESHA INDONESIA,MANAJEMEN SUMBER DAYA MANUSIA SEKTOR PUBLIK,D-IV,BAIK SEKALI,BERHASIL
UNIVERSITAS PGRI PALEMBANG,AKUNTANSI,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS AMIKOM PURWOKERTO,BISNIS DIGITAL,S1,BAIK SEKALI,BERHASIL
STIE SYARI`AH AL-MUJADDID,EKONOMI SYARIAH,S1,BAIK SEKALI,BERHASIL
INSTITUT BISNIS DAN TEKNOLOGI PELITA INDONESIA,MANAJEMEN,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI TAMAN SISWA,MANAJEMEN,S1,BAIK,GAGAL COCOK
UNIVERSITAS ARYASATYA DEO MURI,MANAJEMEN,S1,BAIK,BERHASIL
UNIVERSITAS MUHAMMADIYAH JEMBER,MANAJEMEN,S1,UNGGUL,BERHASIL
UNIVERSITAS MUHAMMADIYAH RIAU,MANAJEMEN,S1,UNGGUL,BERHASIL
UNIVERSITAS MUSLIM NUSANTARA AL-WASHLIYAH,MANAJEMEN,S1,UNGGUL,BERHASIL
UNIVERSITAS IBNU CHALDUN,PERBANKAN SYARIAH,S1,BAIK,BERHASIL
UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS TADULAKO,EKONOMI,S2,BAIK SEKALI,BERHASIL
"POLITEKNIK SANDI KARSA, MAKASSAR",TEKNOLOGI LABORATORIUM MEDIS,D-IV,BAIK,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN IST BUTON, BAUBAU",KEPERAWATAN,S1,BAIK,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN IST BUTON, BAUBAU",NERS,PROFESI,BAIK,GAGAL COCOK
UNIVERSITAS MUHAMMADIYAH SURAKARTA,MANAJEMEN,S3,BAIK,BERHASIL
UNIVERSITAS SURABAYA,PJJ MANAJEMEN,S2,BAIK,BERHASIL
