institution_name,province,campus_accreditation,average_yearly_fee,kategori_final,link
UNIVERSITAS MERCU BUANA YOGYAKARTA,DI YOGYAKARTA,A,33065000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-mercu-buana-yogyakarta
INSTITUT TEKNOLOGI DIRGANTARA ADISUTJIPTO,DI YOGYAKARTA,BAIK SEKALI,29500000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KESEHATAN AKBIDYO,DI YOGYAKARTA,B,27400000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-akbidyo
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,A,27000000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,A,25000000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-islam-indonesia
SEKOLAH TINGGI ILMU KESEHATAN YKY YOGYAKARTA,DI YOGYAKARTA,BAIK SEKALI,24750000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KESEHATAN PANTI RAPIH YOGYAKARTA,DI YOGYAKARTA,BAIK SEKALI,19370000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,BAIK SEKALI,19000000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,A,18925000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Unggul (A),https://campus.quipper.com/directory/universitas-sanata-dharma
INSTITUT TEKNOLOGI NASIONAL YOGYAKARTA,DI YOGYAKARTA,B,18225000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
