prodi_name,jenjang,akreditasi_prodi,institution_code
ILMU ADMINISTRASI NEGARA,S1,B,banpt-sekolah tinggi ilmu sosial dan ilmu politik panca bhakti palu
PENDIDIKAN MATEMATIKA,S1,B,BANPT-3305
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-3305
ILMU ADMINISTRASI NEGARA,S1,A,BANPT-1022
PENDIDIKAN SENI TARI,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan pgri banjarmasin
HUKUM,S1,B,BANPT-2966
TEKNIK INFORMATIKA,S1,B,BANPT-2114
PENDIDIKAN MATEMATIKA,S1,Unggul,BANPT-1224
EKONOMI PEMBANGUNAN,S1,B,BANPT-819
EKONOMI SYARI`AH,S1,B,BANPT-2067
PETERNAKAN,S1,B,BANPT-3280
PETERNAKAN,S1,B,BANPT-1864
PENDIDIKAN IPA,S1,Baik,banpt-stkip pgri tulungagung
ILMU POLITIK,S1,B,BANPT-1994
BIOLOGI,S1,B,BANPT-3051
PENDIDIKAN BAHASA BALI,S1,Baik,BANPT-3281
DESAIN PRODUK,S1,Baik,BANPT-1774
PSIKOLOGI,S1,B,BANPT-2398
ILMU HUKUM,S1,B,banpt-universitas mathla`ul anwar
MANAJEMEN,S1,B,BANPT-2304
ILMU HUKUM,S1,B,banpt-universitas wiraswasta indonesia
MANAJEMEN,S1,B,BANPT-1319
AKUNTANSI,S1,B,BANPT-3044
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan ypup makassar
HUKUM KELUARGA,S1,B,BANPT-2333
EKONOMI ISLAM,S1,Baik,BANPT-2068
AGRIBISNIS,S1,Baik,BANPT-3715
BIOTEKNOLOGI,S1,Baik,BANPT-1851
PENDIDIKAN GURU SEKOLAH DASAR,S1,Baik,BANPT-4006
PENDIDIKAN BIOLOGI,S1,Baik,BANPT-3818
BAHASA MANDARIN,S1,Baik,BANPT-1539
ILMU HUKUM,S1,B,BANPT-1628
PENDIDIKAN BIOLOGI,S1,Tidak Terakreditasi,banpt-stkip tunas palapa
TEKNIK INFORMATIKA,S1,B,BANPT-80
PSIKOLOGI,S1,B,BANPT-3162
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,Baik,banpt-stkip persada khatulistiwa sintang
MANAJEMEN,S1,B,BANPT-682
ILMU PEMERINTAHAN,S1,B,BANPT-468
EKONOMI SYARI'AH,S1,B,BANPT-663
ILMU ADMINISTRASI NIAGA,S1,B,BANPT-374
TEKNIK INFORMATIKA,S1,B,BANPT-463
KEHUTANAN,S1,B,BANPT-3607
KOMUNIKASI DAN PENYIARAN ISLAM,S1,Baik,BANPT-3923
HUKUM KELUARGA ISLAM,S1,Unggul,BANPT-2866
PENDIDIKAN GURU SEKOLAH DASAR,S1,Baik,BANPT-3581
PERENCANAAN WILAYAH DAN KOTA,S1,Baik,BANPT-738
PENDIDIKAN FISIKA,S1,Baik,BANPT-4006
PENDIDIKAN BIOLOGI,S1,Baik,BANPT-2282
PENDIDIKAN FISIKA,S1,Baik,BANPT-3818
ADMINISTRASI  NEGARA,S1,Baik,banpt-stisip bina marta
TEKNIK INFORMATIKA,S1,Baik,BANPT-1423
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-70
KOMUNIKASI DAN PENYIARAN ISLAM,S1,Baik,BANPT-1725
PENDIDIKAN FISIKA,S1,Baik,BANPT-3542
AKUNTANSI SYARIAH,S1,Baik,banpt-universitas ibrahimy sukorejo situbondo
PENDIDIKAN MUSIK,S1,B,BANPT-3358
HUKUM,S1,B,BANPT-3085
MANAJEMEN,S1,Baik,BANPT-1170
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-3293
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-907
SENI TARI,S1,Tidak Terakreditasi,banpt-institut ilmu sosial dan budaya samawa rea
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-2319
PENDIDIKAN IPA,S1,Baik Sekali,BANPT-1224
TEKNIK ELEKTRO,S1,Baik,banpt-universitas teknologi sulawesi utara
SISTEM INFORMASI,S1,B,banpt-sekolah tinggi manajemen informatika dan komputer ppkia pradnya paramita
AGROTEKNOLOGI,S1,Baik,BANPT-3715
PENDIDIKAN GURU SEKOLAH DASAR,S1,Baik,BANPT-2498
PENDIDIKAN MATEMATIKA,S1,B,BANPT-3074
ILMU KOMUNIKASI,S1,Baik,banpt-sekolah tinggi ilmu komunikasi bandung
ILMU PEMERINTAHAN,S1,B,BANPT-945
ADMINISTRASI RUMAH SAKIT,S1,B,BANPT-2185
