faculty,prodi,quipper_institution_code
Manajemen dan Bisnis,Manajemen,78
Diploma,Keperawatan,79
Diploma,Rekam Medis dan Informasi Kesehatan,79
Diploma,Farmasi,79
Sarjana,Keperawatan,79
Profesi,Ners,79
Teknik Penerbangan,Teknik Bangunan dan Landasan,80
Teknik Penerbangan,Teknik Mekanikal Bandar Udara,80
Teknik Penerbangan,Teknik Listrik Bandara,80
Teknik Penerbangan,Teknik Navigasi Udara,80
Teknik Penerbangan,Teknik Pesawat Udara,80
Manajemen Penerbangan,Operasi Bandar Udara (B),80
Penerbang,Penerbang,80
Keselamatan Penerbangan,Penerangan Aeronautika,80
Keselamatan Penerbangan,Pertolongan Kecelakaan Pesawat,80
Keselamatan Penerbangan,Lalu Lintas Udara,80
Sarjana,Keperawatan,81
Sarjana,Kesehatan Masyarakat,81
Diploma,Kebidanan,81
Diploma,Rekam Medis dan Informasi Kesehatan,81
Profesi,Ners,81
Ekonomi,Manajemen,82
Ekonomi,Akuntansi,82
Agama Islam,Pendidikan Agama Islam,82
Agama Islam,Ekonomi Syariah,82
Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,82
Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintah,82
Ilmu Sosial dan Ilmu Politik,Perhotelan,82
Keguruan dan Ilmu Pendidikan,Pendidikan Biologi,82
Keguruan dan Ilmu Pendidikan,Matematika,82
Keguruan dan Ilmu Pendidikan,Bahasa Indonesia,82
Keguruan dan Ilmu Pendidikan,Bahasa Inggris,82
Keguruan dan Ilmu Pendidikan,Olahraga,82
Keguruan dan Ilmu Pendidikan,Pendidikan Guru Pendidikan Anak Usia Dini (PGPAUD),82
Pertanian,Agroteknologi,82
Pertanian,Agribisnis,82
Pertanian,Teknologi Industri Pertanian,82
Ilmu Kesehatan,Keperawatan,82
Ilmu Kesehatan,Ners Keperawatan,82
Teknik,Teknik Mesin,82
Teknik,Teknik Sipil,82
Teknik,Teknik Elektro,82
Teknik,Teknik Informatika,82
Teknik,Manajemen Informatika,82
Hukum,Ilmu Hukum,82
Psikologi,Psikologi,82
Pascasarjana,Manajemen,82
Fakultas Seni Rupa dan Desain,Seni Rupa,83
Fakultas Seni Rupa dan Desain,Desain,83
Fakultas Film dan Televisi,Film dan Televisi,83
Fakultas Seni Pertunjukan,Tari,83
Fakultas Seni Pertunjukan,Teater & Drama,83
Fakultas Seni Pertunjukan,Musik,83
Fakultas Seni Pertunjukan,Antropologi,83
Sekolah Pascasarjana,Seni Rupa,83
Teologi,Filsafat Keilahian,84
Teologi,Magister Ilmu Teologi,84
Teologi,Magister Kajian Konflik dan Perdamaian,84
Teologi,Doktor Teologi,84
Bisnis,Manajemen,84
Bisnis,Akuntansi,84
