primary_key,institution_name,rank
491,Universitas Islam Al-Ihya Kuningan,491
492,Universitas Gunung Kidul,492
493,Universitas Teknologi Nusantara,493
494,Universitas Universal,494
495,Universitas Tjut Nyak Dhien,495
496,Universitas Nahdlatul Ulama Cirebon,496
497,Universitas Kader Bangsa,497
498,Universitas Teknologi Digital,498
499,Universitas Muara Bungo,499
500,Universitas Sisingamangaraja XII Tapanuli,500
501,Universitas Islam Ogan Komering Ilir Kayuagung,501
502,Universitas Sultan Fatah,502
503,Universitas Nahdlatul Ulama Sumatera Utara,503
504,Universitas Sunan Giri Surabaya,504
505,Universitas Al-Azhar,505
506,Universitas Islam Makassar,506
507,Universitas Dharmas Indonesia,507
508,Universitas Sains dan Teknologi Jayapura,508
509,Universitas Islam Jakarta,509
510,Universitas Tompotika,510
511,Universitas Wahidiyah,511
512,Universitas Teknologi Surabaya,512
513,Universitas Gunung Rinjani,513
514,Universitas Jakarta,514
515,Universitas Nusa Bangsa,515
516,Universitas Bandung Raya,516
517,Universitas Banten Jaya,517
518,Universitas Gajah Putih,518
519,Universitas Patria Artha,519
520,Universitas Quality,520
521,Universitas Sunan Bonang,521
522,Universitas Victory Sorong,522
523,Universitas Darwan Ali,523
524,Universitas Alwashliyah,524
525,Universitas Bondowoso,525
526,Universitas Sulawesi Tenggara,526
527,Universitas 45 Surabaya,527
528,Universitas Sang Bumi Ruwa Jurai,528
529,Universitas Mayjen Sungkono,529
530,Universitas Simalungun,530
531,Universitas IBA,531
532,Universitas Halmahera,532
533,Universitas Satyagama,533
534,Universitas Yapis Papua,534
535,Universitas Yos Soedarso,535
536,Universitas Lakidende Unaaha,536
537,Universitas Kristen Artha Wacana,537
538,Universitas 45 Mataram,538
539,Universitas Dayanu Ikhsanuddin,539
540,Universitas Nahdlatul Ulama Kalimantan Timur,540
541,Universitas Al Ghifari,541
542,Universitas Mahendradatta,542
543,Universitas Sawerigading Makassar,543
544,Universitas Pramita Indonesia,544
545,Universitas Sjakhyakirti,545
546,Universitas Al Asyariah Mandar,546
547,Universitas Siber Indonesia,547
548,Universitas Teknologi Sulawesi Utara,548
549,Universitas Madako Toli-toli,549
550,Universitas Nahdlatul Ulama Kalimantan Selatan,550
551,Universitas Kristen Teknologi Solo,551
552,Universitas Musi Rawas,552
553,Universitas Nahdlatul Ulama Surakarta,553
554,Universitas 17 Agustus 1945 Cirebon,554
555,Universitas Nasional Pasim,555
556,Universitas Mohammad Natsir Bukittinggi,556
557,Universitas Tamansiswa Palembang,557
558,Universitas PGRI Palangkaraya,558
559,Universitas Tabanan,559
560,Universitas Nahdlatul Ulama Kalimantan Barat,560
561,Universitas Nusantara Manado,561
562,Universitas Nahdlatul Ulama Sulawesi Tenggara,562
563,Universitas Prisma,563
564,Universitas PGRI Wiranegara,564
565,Universitas Persatuan Guru 1945 NTT,565
566,Universitas Islam Labuhan Batu,566
567,Universitas Kaltara,567
568,Universitas Kristen Papua,568
569,Universitas Nahdlatul Ulama Sumatera Barat,569
570,Universitas Nani Bili Nusantara,570
571,Universitas Ottow Geissler,571
572,Universitas Teknologi Sulawesi,572
573,Universitas Efarina,573
574,Universitas Cordova,574
575,Universitas Bumi Hijrah,575
576,Universitas Cokroaminoto Makassar,576
577,Universitas Gunung Leuser Aceh,577
578,Universitas Karya Dharma Makassar,578
579,Universitas Pawyatan Daha,579
580,Universitas Achmad Yani,580
581,Universitas Kristen Palangka Raya,580
582,Universitas Tribuana Kalabahi,582
583,Universitas Kristen Tentena,583
584,Universitas Pembangunan Indonesia,584
585,Universitas Mochammad Sroedji Jember,585
586,Universitas Satya Wiyata Mandala,586
587,Universitas Aryasatya Deo Muri,587
588,Universitas Iqra Buru,588
589,Universitas Nuku,589
590,Universitas Nusa Lontar Rote,590
591,Universitas Islam Sumatera Barat,591
592,Universitas Tridharma Balikpapan,592
593,Universitas Karyadarma Kupang,593
594,Universitas Karo,594
595,Universitas Trunajaya,594
596,Universitas Surapati,596
597,Universitas Sari Putra Tomohon,597
598,Universitas Lumajang,598
599,Universitas Wiraswasta Indonesia,599
600,Universitas Pepabri Makassar,600
601,Universitas Hein Namotemo,Un
602,Universitas Teknologi Indonesia,Un
603,Universitas Kapuas Sintang,Un
604,Universitas Timika,Un
605,Universitas Timbul Nusantara,Un
606,Universitas Nusa Tenggara Barat,Un
607,Universitas Ratu Samban,Un
608,Universitas Islam Attahiriyah,Un
609,Universitas Merdeka Ponorogo,Un
610,Universitas Dumoga Kotamobagu,Un
611,+ Add University,Legend:UnUnranked
