primary_key,institution_name,rank
417,UNIVERSITAS SAHID SURAKARTA,417
418,UNIVERSITAS WIJAYA KUSUMA PURWOKERTO,418
419,UNIVERSITAS DARMA AGUNG,419
420,UNIVERSITAS SATYA NEGARA INDONESIA,420
421,UNIVERSITAS AL-WASHLIYAH LABUHAN BATU,421
422,UNIVERSITAS SURYA,422
423,UNIVERSITAS PROF. DR. HAZAIRIN SH.,423
424,UNIVERSITAS WIDYA KARTIKA,424
425,UNIVERSITAS SAN PEDRO,425
426,UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,426
427,UNIVERSITAS TIMOR,427
428,UNIVERSITAS PGRI RONGGOLAWE,428
429,UNIVERSITAS BINA INSAN,429
430,UNIVERSITAS ISLAM BATIK,430
431,UNIVERSITAS GORONTALO,431
432,UNIVERSITAS MADURA,432
433,UNIVERSITAS PERJUANGAN TASIKMALAYA,433
434,UNIVERSITAS BOYOLALI,434
435,UNIVERSITAS DWIJENDRA,435
436,UNIVERSITAS KATOLIK DE LA SALLE,436
437,UNIVERSITAS PANCA MARGA,437
438,UNIVERSITAS ROKANIA,438
439,UNIVERSITAS ISKANDARMUDA,439
440,UNIVERSITAS SOERJO,440
441,UNIVERSITAS MAHASARASWATI MATARAM,441
442,UNIVERSITAS BATAM,442
443,UNIVERSITAS AZZAHRA,443
444,UNIVERSITAS TAMA JAGAKARSA,444
445,UNIVERSITAS PANCASAKTI MAKASSAR,445
446,UNIVERSITAS SINTUWU MAROSO,446
447,UNIVERSITAS PASIFIK MOROTAI,447
448,UNIVERSITAS KRISTEN INDONESIA PAULUS,448
449,UNIVERSITAS BAITURRAHMAH,449
450,UNIVERSITAS NAHDLATUL WATHAN,450
451,UNIVERSITAS TRIDINANTI PALEMBANG,451
452,UNIVERSITAS ICHSAN GORONTALO,452
453,UNIVERSITAS DOKTOR NUGROHO MAGETAN,453
454,UNIVERSITAS PGRI SILAMPARI,454
455,UNIVERSITAS SAINS CUT NYAK DHIEN,455
456,UNIVERSITAS BINA INSANI,456
457,UNIVERSITAS SAMAWA,457
458,UNIVERSITAS METHODIST INDONESIA,458
459,UNIVERSITAS ALKHAIRAAT,459
460,UNIVERSITAS AMIR HAMZAH,460
461,UNIVERSITAS ANTAKUSUMA,461
462,UNIVERSITAS BALI INTERNASIONAL,462
463,UNIVERSITAS MULIA,463
464,UNIVERSITAS MUHAMMADIYAH MALUKU UTARA,464
465,UNIVERSITAS KRISTEN INDONESIA MALUKU,465
466,UNIVERSITAS BILLFATH,466
467,UNIVERSITAS MERDEKA MADIUN,467
468,UNIVERSITAS SELAMAT SRI,468
469,UNIVERSITAS BATURAJA,469
470,UNIVERSITAS SUMATERA SELATAN,470
471,UNIVERSITAS SERANG RAYA,471
472,UNIVERSITAS MATHLA'UL ANWAR,472
473,UNIVERSITAS PODOMORO,473
474,UNIVERSITAS MITRA INDONESIA,474
475,UNIVERSITAS MERDEKA SURABAYA,475
476,UNIVERSITAS PUTRA INDONESIA,476
477,UNIVERSITAS DARUL ULUM ISLAMIC CENTRE SUDIRMAN,477
478,UNIVERSITAS PANCA BHAKTI,478
479,UNIVERSITAS PEJUANG REPUBLIK INDONESIA,479
480,UNIVERSITAS PANJI SAKTI,480
481,UNIVERSITAS GAJAYANA MALANG,481
482,UNIVERSITAS KARIMUN,482
483,UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,483
484,UNIVERSITAS IBNU CHALDUN,484
485,UNIVERSITAS JABAL GHAFUR,485
486,UNIVERSITAS BOJONEGORO,486
487,UNIVERSITAS MUHAMMADIYAH JAMBI,487
488,UNIVERSITAS NGURAH RAI,488
489,UNIVERSITAS TAMANSISWA,489
490,UNIVERSITAS NUSA NIPA,490
491,UNIVERSITAS ISLAM AL-IHYA KUNINGAN,491
492,UNIVERSITAS GUNUNG KIDUL,492
493,UNIVERSITAS TEKNOLOGI NUSANTARA,493
494,UNIVERSITAS UNIVERSAL,494
495,UNIVERSITAS TJUT NYAK DHIEN,495
496,UNIVERSITAS NAHDLATUL ULAMA CIREBON,496
497,UNIVERSITAS KADER BANGSA,497
498,UNIVERSITAS TEKNOLOGI DIGITAL,498
499,UNIVERSITAS MUARA BUNGO,499
500,UNIVERSITAS SISINGAMANGARAJA XII TAPANULI,500
501,UNIVERSITAS ISLAM OGAN KOMERING ILIR KAYUAGUNG,501
502,UNIVERSITAS SULTAN FATAH,502
503,UNIVERSITAS NAHDLATUL ULAMA SUMATERA UTARA,503
504,UNIVERSITAS SUNAN GIRI SURABAYA,504
505,UNIVERSITAS AL-AZHAR,505
506,UNIVERSITAS ISLAM MAKASSAR,506
507,UNIVERSITAS DHARMAS INDONESIA,507
508,UNIVERSITAS SAINS DAN TEKNOLOGI JAYAPURA,508
509,UNIVERSITAS ISLAM JAKARTA,509
510,UNIVERSITAS TOMPOTIKA,510
511,UNIVERSITAS WAHIDIYAH,511
512,UNIVERSITAS TEKNOLOGI SURABAYA,512
513,UNIVERSITAS GUNUNG RINJANI,513
514,UNIVERSITAS JAKARTA,514
515,UNIVERSITAS NUSA BANGSA,515
