faculty,building_name,address,quipper_institution_code
ALL,Kampus Wiyung,"Jl. Raya Menganti Keramat 133, Wiyung, Surabaya",109
ALL,Kampus Benowo,"Jalan Raya Benowo 1-3, Pakal, Surabaya",109
ALL,Kampus Utama,"Jalan Tampung Penyang RTA Milono Km. 6, Palangka Raya, Kalimantan Tengah 73112",110
ALL,Kampus Utama,"Jalan Ahmad Yani Nomor 114,
Ketintang, Kecamatan Gayungan, Kota Surabaya, Jawa Timur 60231",111
ALL,Kampus III,"Jalan Taman Borobudur Indah Nomor 1, Mojolangu, Kecamatan Lowokwaru, Kota Malang, Jawa Timur 65142",112
ALL,Kampus II,Jalan Borobudur Nomor 35 Malang,112
ALL,Kampus Utama,"Jalan G. Obos X Palangka Raya
Kalimantan Tengah, 73112",113
Fakultas Psikologi dan Ilmu Sosial Budaya,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
Fakultas Teknik Sipil dan Perencanaan,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
Fakultas Kedokteran,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
Fakultas Ilmu Agama Islam,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
Fakultas Matematika dan Ilmu Pengetahuan Alam,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
Fakultas Hukum,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
Fakultas Teknologi Industri,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
Fakultas Bisnis dan Ekonomika,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",114
ALL,Kampus Utama,"Jl. Brigjend Dharsono No.20, Kertawinangun, Kedawung, Kabupaten Cirebon, Jawa Barat 45153",115
ALL,Kampus Utama,"Jalan Edutown BSD City Serpong, Pagedangan, Kecamatan Pagedangan, Kabupaten Tangerang, Banten 15339",116
ALL,Kampus Utama,"Jl. Simpang Candi Panggung No. 133, Malang, Jawa Timur",117
ALL,Kampus Ngagel,"Jalan Ngagel Dadi III-3B/37 Surabaya 60245 Jawa Timur, Indonesia",118
ALL,Kampus Menanggal,"Jalan Dukuh Menanggal XII, Surabaya 60234 Jawa Timur, Indonesia",118
ALL,Kampus Utama,Jl. Mayjen Haryono 193 Malang 65144,119
ALL,Kampus Utama,"Jalan Galala Atas, Halong, Kec. Baguala, Kota Ambon, Maluku",120
ALL,Kampus Utama,"Jl. Bukit Hermon No. 1, Tidar Atas, Malang, Jawa Timur 65151",121
