cluster,institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
1,99,UNIVERSITAS MUHAMMADIYAH METRO,LAMPUNG,SWASTA,BAIK SEKALI,-,FISIOTERAPI,S1,BAIK,48115001.0,24057500.0
1,96,SEKOLAH TINGGI TEKNOLOGI RONGGOLAWE,JAWA TENGAH,SWASTA,BAIK,-,SIPIL,S1,BAIK SEKALI,48360000.0,24180000.0
1,91,SAE INDONESIA,DKI JAKARTA,SWASTA,B,FILM,FILM TELEVISI,S1,-,50000000.0,25000000.0
1,92,UNIVERSITAS METHODIST INDONESIA,SUMATERA UTARA,SWASTA,B,FAKULTAS EKONOMI,AKUNTANSI,S1,B,50000000.0,25000000.0
1,92,UNIVERSITAS METHODIST INDONESIA,SUMATERA UTARA,SWASTA,B,-,KOMPUTERISASI AKUNTANSI,S1,B,50000000.0,25000000.0
1,92,UNIVERSITAS METHODIST INDONESIA,SUMATERA UTARA,SWASTA,B,-,MANAJEMEN INFORMATIKA,S1,B,50000000.0,25000000.0
1,92,UNIVERSITAS METHODIST INDONESIA,SUMATERA UTARA,SWASTA,B,-,AGROEKOTEKNOLOGI,S1,B,50000000.0,25000000.0
1,88,UNIVERSITAS PRASETIYA MULYA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,SCHOOL OF BUSINESS AND ECONOMICS,AKUNTANSI,S1,B,51000000.0,25500000.0
1,88,UNIVERSITAS PRASETIYA MULYA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,-,REKAYASA SISTEM KOMPUTER,S1,BAIK,51000000.0,25500000.0
1,88,UNIVERSITAS PRASETIYA MULYA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,-,ENERGI WIRAUSAHA,S1,C,51000000.0,25500000.0
1,88,UNIVERSITAS PRASETIYA MULYA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,SCHOOL OF BUSINESS AND ECONOMICS,TEKNOLOGI KEUANGAN,S1,-,51000000.0,25500000.0
1,87,INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,-,TEKNOLOGI PANGAN,S1,B,51500000.0,25750000.0
1,87,INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,-,BIO KEWIRAUSAHAAN,S1,B,51500000.0,25750000.0
1,86,UNIVERSITAS KRISTEN MARANATHA,JAWA BARAT,SWASTA,B,-,KEDOKTERAN,S1,B,52352500.0,26176250.0
1,86,UNIVERSITAS KRISTEN MARANATHA,JAWA BARAT,SWASTA,B,-,SIPIL,S1,B,52352500.0,26176250.0
1,86,UNIVERSITAS KRISTEN MARANATHA,JAWA BARAT,SWASTA,B,-,SASTRA INGGRIS,S1,B,52352500.0,26176250.0
1,1,LONDON SCHOOL OF PUBLIC RELATIONS,DKI JAKARTA,SWASTA,A,-,KOMUNIKASI MASSA,S1,-,52500000.0,26250000.0
1,1,LONDON SCHOOL OF PUBLIC RELATIONS,DKI JAKARTA,SWASTA,A,-,HUBUNGAN INTERNASIONAL,S1,-,52500000.0,26250000.0
1,85,UNIVERSITAS 17 AGUSTUS 1945 SURABAYA,JAWA TIMUR,SWASTA,A,-,ARSITEKTUR,S1,B,53150000.0,26575000.0
