quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code
-,-,banpt-2185,-,-,,FARMASI,S1,BAIK SEKALI,111
-,-,banpt-2185,-,-,,FISIOTERAPI,S1,BAIK,111
-,-,banpt-2185,-,-,,GIZI,S1,C,111
-,-,banpt-2185,-,-,,KEBIDANAN,S1,BAIK,111
-,-,banpt-2185,-,-,,KEDOKTERAN,S1,BAIK,111
-,-,banpt-2185,-,-,,KEDOKTERAN GIGI,S1,BAIK,111
-,-,banpt-2185,-,-,,KEPERAWATAN,S1,BAIK SEKALI,111
-,-,banpt-2185,-,-,,KESEHATAN MASYARAKAT,S1,B,111
-,-,banpt-2185,-,-,,PSIKOLOGI,S1,BAIK,111
-,-,banpt-2360,-,-,,GIZI,S1,BAIK SEKALI,362
-,-,banpt-2360,-,-,,KEPERAWATAN,S1,BAIK SEKALI,362
-,-,banpt-2360,-,-,,KESEHATAN MASYARAKAT,S1,BAIK SEKALI,362
quipper-353,-,-,-,ADMINISTRASI RUMAH SAKIT,,ADMINISTRASI KESEHATAN,S1,-,466
-,-,banpt-3093,-,-,,ADMINISTRASI RUMAH SAKIT,S1,C,466
quipper-353,-,-,-,FARMASI,,FARMASI,S1,-,466
quipper-353,-,-,-,ILMU GIZI,,GIZI,S1,-,466
quipper-353,-,banpt-3093,-,KESEHATAN LINGKUNGAN,,KESEHATAN LINGKUNGAN,S1,B,466
quipper-353,-,-,-,KESEHATAN MASYARAKAT,,KESEHATAN MASYARAKAT,S1,-,466
quipper-353,-,banpt-3093,-,PSIKOLOGI,,PSIKOLOGI,S1,BAIK,466
-,-,banpt-627,-,-,,FARMASI,S1,BAIK SEKALI,72
-,-,banpt-627,-,-,,FISIOTERAPI,S1,BAIK SEKALI,72
-,-,banpt-627,-,-,,GIZI,S1,BAIK SEKALI,72
-,-,banpt-627,-,-,,KEBIDANAN,S1,BAIK SEKALI,72
-,-,banpt-627,-,-,,KEPERAWATAN,S1,BAIK SEKALI,72
-,-,banpt-627,-,-,,KESEHATAN MASYARAKAT,S1,UNGGUL,72
-,-,banpt-1991,-,-,,FARMASI,S1,BAIK SEKALI,191
-,-,banpt-1991,-,-,,GIZI,S1,TERAKREDITASI UNGGUL,191
-,-,banpt-1991,-,-,,KEBIDANAN,S1,BAIK SEKALI,191
-,-,banpt-1991,-,-,,KEPERAWATAN,S1,UNGGUL,191
-,-,banpt-2860,-,-,,GIZI,S1,C,626
-,-,banpt-2860,-,-,,KEBIDANAN,S1,BAIK,626
-,-,banpt-2860,-,-,,KEPERAWATAN,S1,BAIK SEKALI,626
-,-,banpt-2860,-,-,,KESEHATAN MASYARAKAT,S1,BAIK SEKALI,626
-,-,banpt-29,-,-,,ADMINISTRASI KESEHATAN,S1,BAIK,329
-,-,banpt-29,-,-,,KEBIDANAN,S1,BAIK,329
-,-,banpt-29,-,-,,KEPERAWATAN,S1,B,329
-,-,banpt-242,-,-,,BISNIS DIGITAL,S1,BAIK,355
-,-,banpt-1281,-,-,,MESIN,S1,BAIK,1858
-,-,banpt-1281,-,-,,SIPIL,S1,BAIK,1858
-,-,banpt-1569,-,-,,ARSITEKTUR,S1,BAIK,513
-,-,banpt-1569,-,-,,BISNIS DIGITAL,S1,BAIK,513
-,-,banpt-1569,-,-,,DESAIN KOMUNIKASI VISUAL,S1,TERAKREDITASI SEMENTARA,513
-,-,banpt-1569,-,-,,KOMPUTER,S1,BAIK,513
-,-,banpt-1569,-,-,,PERENCANAAN WILAYAH KOTA,S1,BAIK,513
-,-,banpt-1348,-,-,,PERIKANAN,S1,BAIK,1036
