institution_code,institution_name,akreditasi_institusi,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
banpt-214,AKADEMI PERHOTELAN TUNAS INDONESIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-216,SEKOLAH TINGGI ILMU KESEHATAN BAITUL HIKMAH,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-217,UNIVERSITAS NIAS,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-218,INSTITUT TEKNOLOGI DAN BISNIS PELITA RAYA,BAIK,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-219,POLITEKNIK TUNAS GARUDA,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-220,AKADEMI FARMASI YPF,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-221,AKADEMI SEKRETARIS DAN MANAJEMEN KENCANA BANDUNG,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-223,UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-224,SEKOLAH TINGGI ILMU KESEHATAN NANI HASANUDDIN,B,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-225,UNIVERSITAS METAMEDIA,B,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-226,UNIVERSITAS ABDURACHMAN SALEH SITUBONDO,B,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-232,SEKOLAH TINGGI LLMU EKONOMI PANGERAN ANTASARI,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-234,POLITEKNIK ARUTALA JOHANA HENDARTO,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-236,UNIVERSITAS MUHAMMADIYAH PALEMBANG,UNGGUL,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-242,INSTITUT MEDIA DIGITAL EMTEK,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-243,SEKOLAH TINGGI ILMU KESEHATAN MEDISTRA INDONESIA,UNGGUL,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-245,UNIVERSITAS MOHAMMAD NATSIR BUKITTINGGI,BAIK SEKALI,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-246,UNIVERSITAS CENDEKIA ABDITAMA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-247,STIKES BHAKTI HUSADA MULIA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-248,INSTITUT BISNIS DAN KEUANGAN NITRO,B,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-253,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
